orgId,nameOfficial,divisionRoman,conferenceId,conferenceName,webSiteUrl,athleticWebUrl
4,Adrian College,III,873,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com
11324,Agnes Scott College,III,30251,Collegiate Conference of the South,www.agnesscott.edu,www.ascscotties.com
2798,Albertus Magnus College,III,23257,Great Northeast Athletic Conference,www.albertus.edu,www.albertusfalcons.com
15,Albion College,III,873,Michigan Intercol. Ath. Assn.,www.albion.edu,www.gobrits.com
16,Albright College,III,877,Middle Atlantic Conferences,www.albright.edu,www.albrightathletics.com
30170,Alfred State College,III,30022,Allegheny Mountain Collegiate Conference,www.alfredstate.edu,www.alfredstateathletics.com
18,Alfred University,III,863,Empire 8,www.alfred.edu,www.gosaxons.com
19,Allegheny College,III,907,Presidents' Athletic Conference,www.allegheny.edu,www.alleghenygators.com
21,Alma College,III,873,Michigan Intercol. Ath. Assn.,www.alma.edu,www.almascots.com
938,Alvernia University,III,877,Middle Atlantic Conferences,www.alvernia.edu,athletics.alvernia.edu
28746,Alverno College,III,30097,Northern Athletics Collegiate Conference,www.alverno.edu,athletics.alverno.edu/
24,Amherst College,III,12817,New England Small College Athletic Conference,www.amherst.edu,athletics.amherst.edu/landing/index
939,Anderson University (Indiana),III,9174,Heartland Collegiate Athletic Conference,www.anderson.edu,athletics.anderson.edu
26,Anna Maria College,III,23257,Great Northeast Athletic Conference,www.annamaria.edu,goamcats.com/landing/index
966,Arcadia University,III,877,Middle Atlantic Conferences,www.arcadia.edu,www.arcadiaknights.com/
30243,Asbury University,III,0,Independent,www.asbury.edu,www.asburyeagles.com
38,Augsburg University,III,882,Minnesota Intercollegiate Athletic Conference,www.augsburg.edu,athletics.augsburg.edu
40,Augustana College (Illinois),III,836,College Conference of Illinois & Wisconsin,www.augustana.edu,www.athletics.augustana.edu/
42,Aurora University,III,30097,Northern Athletics Collegiate Conference,www.aurora.edu,athletics.aurora.edu
953,Austin College,III,835,Southern Collegiate Athletic Conference,www.austincollege.edu,www.acroos.com
44,Averett University,III,903,Old Dominion Athletic Conf.,www.averett.edu,www.averettcougars.com
45,Babson College,III,890,New England Women's and Men's Athletic Conference,www.babson.edu,www.babsonathletics.com
46,Baldwin Wallace University,III,901,Ohio Athletic Conference,www.bw.edu,www.bwyellowjackets.com/landing/index
962,Bard College,III,24197,Liberty League,www.bard.edu,www.bardathletics.com
58,Baruch College,III,834,City University of New York Athletic Conference,www.baruch.cuny.edu,www.baruchathletics.com
50,Bates College,III,12817,New England Small College Athletic Conference,www.bates.edu,www.gobatesbobcats.com
30197,Belhaven University,III,30251,Collegiate Conference of the South,www.belhaven.edu,blazers.belhaven.edu
53,Beloit College,III,23119,Midwest Conference,www.beloit.edu,www.beloit.edu/bucs/
296,Benedictine University (Illinois),III,30097,Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com
30171,Berea College,III,9174,Heartland Collegiate Athletic Conference,www.berea.edu,www.bereaathletics.com
973,Berry College,III,30169,Southern Athletic Association,www.berry.edu,www.berryvikings.com
59,Bethany College (West Virginia),III,907,Presidents' Athletic Conference,www.bethanywv.edu,bethanybison.com
30038,Bethany Lutheran College,III,30115,Upper Midwest Athletic Conference,www.blc.edu,www.blcvikings.com
60,Bethel University (Minnesota),III,882,Minnesota Intercollegiate Athletic Conference,www.bethel.edu,athletics.bethel.edu/
64,Blackburn College,III,12974,St. Louis Intercollegiate Athletic Conference,www.blackburn.edu,blackburnbeavers.com
987,Bluffton University,III,9174,Heartland Collegiate Athletic Conference,www.bluffton.edu,www.blufftonbeavers.com
69,Bowdoin College,III,12817,New England Small College Athletic Conference,www.bowdoin.edu,www.bowdoin.edu/athletics/
73,Brandeis University,III,1471,University Athletic Association,www.brandeis.edu,www.brandeisjudges.com
30094,Brevard College,III,842,USA South Athletic Conference,www.brevard.edu,www.bctornados.com
75,Bridgewater College (Virginia),III,903,Old Dominion Athletic Conf.,www.bridgewater.edu,www.bridgewatereagles.com
76,Bridgewater State University,III,870,Massachusetts State Collegiate Athletic Conference,www.bridgew.edu,www.bsubears.com
78,State University of New York at Brockport,III,863,Empire 8,www.brockport.edu,gobrockport.com
79,Brooklyn College,III,834,City University of New York Athletic Conference,www.brooklyn.cuny.edu,brooklyncollegeathletics.com
30188,Bryn Athyn College,III,30071,United East Conference,www.brynathyn.edu,www.brynathynathletics.com
82,Bryn Mawr College,III,9683,Centennial Conference,www.brynmawr.edu,www.brynmawr.edu/athletics/
84,Buena Vista University,III,864,American Rivers Conference,www.bvu.edu,www.bvuathletics.com
85,"Buffalo State, State University of New York",III,917,State University of New York Athletic Conference,www.buffalostate.edu,www.buffalostateathletics.com
1305,Cairn University,III,30071,United East Conference,www.cairn.edu,www.cairnhighlanders.com
105,California Lutheran University,III,910,Southern California Intercollegiate Athletic Conf.,www.callutheran.edu,www.clusports.com
113,"University of California, Santa Cruz",III,15810,Coast-To-Coast Athletic Conference,www.ucsc.edu/,www.goslugs.com/
89,California Institute of Technology,III,910,Southern California Intercollegiate Athletic Conf.,www.caltech.edu,www.gocaltech.com
114,Calvin University,III,873,Michigan Intercol. Ath. Assn.,www.calvin.edu,calvinknights.com
30165,State University of New York at Canton,III,917,State University of New York Athletic Conference,www.canton.edu/,www.rooathletics.com
117,Capital University,III,901,Ohio Athletic Conference,www.capital.edu,www.capital.edu/athletics
118,Carleton College,III,882,Minnesota Intercollegiate Athletic Conference,www.carleton.edu,apps.carleton.edu/athletics/
30253,Carlow University,III,30022,Allegheny Mountain Collegiate Conference,www.carlow.edu/,athletics.carlow.edu/
119,Carnegie Mellon University,III,1471,University Athletic Association,www.cmu.edu/,athletics.cmu.edu
120,Carroll University (Wisconsin),III,836,College Conference of Illinois & Wisconsin,www.carrollu.edu,www.gopios.com
121,Carthage College,III,836,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu
122,Case Western Reserve University,III,1471,University Athletic Association,www.case.edu,athletics.case.edu
124,Catholic University,III,30101,Landmark Conference,www.catholic.edu,www.catholicathletics.com/
14795,Cedar Crest College,III,30071,United East Conference,www.cedarcrest.edu,www.cedarcrestathletics.com
125,Centenary College (Louisiana),III,835,Southern Collegiate Athletic Conference,www.centenary.edu,www.GoCentenary.com
12884,Centenary University (New Jersey),III,30233,Atlantic East Conference,www.centenaryuniversity.edu,www.centenarycyclones.com
