orgId,nameOfficial,divisionRoman,conferenceId,conferenceName,webSiteUrl,athleticWebUrl
665,"Southern University, Baton Rouge",I,916,Southwestern Athletic Conf.,www.subr.edu,www.gojagsports.com
667,Southern Utah University,I,923,Western Athletic Conference,www.suu.edu,www.suutbirds.com
596,St. Bonaventure University,I,820,Atlantic 10 Conference,www.sbu.edu,www.gobonnies.com
603,St. John's University (New York),I,30184,Big East Conference,www.stjohns.edu,www.redstormsports.com
606,Saint Joseph's University,I,820,Atlantic 10 Conference,www.sju.edu,sjuhawks.com
609,Saint Louis University,I,820,Atlantic 10 Conference,www.slu.edu/,www.slubillikens.com
610,Saint Mary's College of California,I,922,West Coast Conference,www.stmarys-ca.edu/,www.SMCGaels.com
617,Saint Peter's University,I,871,Metro Atlantic Athletic Conference,www.saintpeters.edu.,www.saintpeterspeacocks.com
620,University of St. Thomas (Minnesota),III,819,The Summit League,www.stthomas.edu,www.Tommiesports.com
674,Stanford University,I,821,Atlantic Coast Conference,www.stanford.edu,gostanford.com/
676,Stephen F. Austin State University,I,914,Southland Conference,www.sfasu.edu/,SFAjacks.com
678,Stetson University,I,920,Atlantic Sun Conference,www.stetson.edu/,www.gohatters.com
682,Stonehill College,II,846,Northeast Conference,www.stonehill.edu,www.stonehillskyhawks.com
683,Stony Brook University,I,837,Coastal Athletic Association,stonybrook.edu,stonybrookathletics.com
688,Syracuse University,I,821,Atlantic Coast Conference,syracuse.edu,cuse.com
1395,Tarleton State University,I,923,Western Athletic Conference,www.tarleton.edu/,tarletonsports.com
690,Temple University,I,823,American Athletic Conference,www.temple.edu,www.owlsports.com
691,Tennessee State University,I,902,Ohio Valley Conference,www.tnstate.edu/,www.tsutigers.com
692,Tennessee Technological University,I,902,Ohio Valley Conference,www.tntech.edu/,www.TTUsports.com/
693,University of Tennessee at Chattanooga,I,912,Southern Conference,www.utc.edu,www.gomocs.com
694,"University of Tennessee, Knoxville",I,911,Southeastern Conference,www.utk.edu,www.utsports.com
695,University of Tennessee at Martin,I,902,Ohio Valley Conference,www.utm.edu/,www.utmsports.com
697,"Texas A&M University, College Station",I,911,Southeastern Conference,www.tamu.edu,www.12thman.com
199,Texas A&M University-Commerce,II,914,Southland Conference,www.tamuc.edu,www.lionathletics.com
26172,Texas A&M University-Corpus Christi,I,914,Southland Conference,www.tamucc.edu/,www.goislanders.com
702,University of Texas at Arlington,I,923,Western Athletic Conference,www.uta.edu,www.utamavs.com
698,Texas Christian University,I,25354,Big 12 Conference,www.tcu.edu,www.gofrogs.com
536,The University of Texas Rio Grande Valley,I,914,Southland Conference,www.utrgv.edu,goutrgv.com
699,Texas Southern University,I,916,Southwestern Athletic Conf.,www.tsu.edu,www.tsusports.com
670,Texas State University,I,818,Sun Belt Conference,www.txstate.edu,txstatebobcats.com
700,Texas Tech University,I,25354,Big 12 Conference,www.ttu.edu,www.texastech.com
703,University of Texas at Austin,I,911,Southeastern Conference,www.utexas.edu,www.TexasSports.com
704,University of Texas at El Paso,I,24312,Conference USA,www.utep.edu,www.utepminers.com
706,University of Texas at San Antonio,I,823,American Athletic Conference,www.utsa.edu,www.goutsa.com
709,University of Toledo,I,875,Mid-American Conference,www.utoledo.edu,www.utrockets.com
711,Towson University,I,837,Coastal Athletic Association,www.towson.edu,www.towsontigers.com
716,Troy University,I,818,Sun Belt Conference,troy.edu,troytrojans.com
718,Tulane University,I,823,American Athletic Conference,www.tulane.edu,www.tulanegreenwave.com
719,The University of Tulsa,I,823,American Athletic Conference,www.utulsa.edu,www.tulsahurricane.com
721,U.S. Air Force Academy,I,5486,Mountain West Conference,usafa.edu,www.goairforcefalcons.com/
725,U.S. Military Academy,I,838,Patriot League,www.westpoint.edu,goarmywestpoint.com/index.aspx
726,U.S. Naval Academy,I,838,Patriot League,www.usna.edu/,www.navysports.com
732,University of Utah,I,25354,Big 12 Conference,www.utah.edu/,utahutes.com/
731,Utah State University,I,5486,Mountain West Conference,www.usu.edu,www.utahstateaggies.com
30095,Utah Tech University,I,923,Western Athletic Conference,utahtech.edu,utahtechtrailblazers.com/
30024,Utah Valley University,I,923,Western Athletic Conference,www.uvu.edu,www.gouvu.com
735,Valparaiso University,I,884,Missouri Valley Conference,www.valpo.edu/,www.valpoathletics.com
736,Vanderbilt University,I,911,Southeastern Conference,vanderbilt.edu,vucommodores.com
738,University of Vermont,I,845,America East Conference,www.uvm.edu,www.uvmathletics.com
739,Villanova University,I,30184,Big East Conference,www.villanova.edu,www.villanova.com
746,University of Virginia,I,821,Atlantic Coast Conference,www.virginia.edu,www.virginiasports.com
740,Virginia Commonwealth University,I,820,Atlantic 10 Conference,www.vcu.edu,www.vcuathletics.com
741,Virginia Military Institute,I,912,Southern Conference,www.vmi.edu,www.vmikeydets.com
