team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Dallas Texans ECNL B08,0,1,0,1,0,1,-1,0.0,0,0.0,1.5,0.5,0.88,ECNL Boys Texas 2024-25,0-1-0
United PDX ECNL B08,1,1,0,2,6,3,3,3.0,3,0.5,1.0,1.0,0.88,ECNL Boys Northwest 2024-25,1-1-0
OK Energy FC ECNL B08,3,0,0,3,6,0,6,2.0,9,1.0,0.5,1.08,0.77,ECNL Boys Texas 2024-25,3-0-0
Columbia Premier SC ECNL B08,0,1,0,1,0,4,-4,0.0,0,0.0,1.0,1.0,0.75,ECNL Boys Northwest 2024-25,0-1-0
Washington Premier ECNL B08,1,1,0,2,3,6,-3,1.5,3,0.5,1.0,0.5,0.75,ECNL Boys Northwest 2024-25,1-1-0
FC Dallas Red ECNL B08,2,0,1,3,3,0,3,1.0,7,0.67,0.67,0.72,0.68,ECNL Boys Texas 2024-25,2-0-1
DKSC ECNL B08,1,2,0,3,2,2,0,0.67,3,0.33,0.92,0.47,0.66,ECNL Boys Texas 2024-25,1-2-0
San Francisco Elite Academy ECNL B08,0,2,0,2,3,9,-6,1.5,0,0.0,1.5,-0.38,0.66,ECNL Boys Northern Cal 2024-25,0-2-0
FC Prime ECNL B08,0,3,1,4,2,16,-14,0.5,1,0.0,1.14,0.28,0.64,ECNL Boys Florida 2024-25,0-3-1
Parkland SC ECNL B08,0,3,1,4,3,7,-4,0.75,1,0.0,1.14,0.28,0.64,ECNL Boys Florida 2024-25,0-3-1
FL Premier FC ECNL B08,3,0,0,3,10,1,9,3.33,9,1.0,0.28,0.93,0.62,ECNL Boys Florida 2024-25,3-0-0
Florida Kraze ECNL B08,2,0,0,2,6,2,4,3.0,6,1.0,0.17,1.14,0.62,ECNL Boys Florida 2024-25,2-0-0
BVBIA ECNL B08,1,2,0,3,3,5,-2,1.0,3,0.33,0.83,0.42,0.6,ECNL Boys Texas 2024-25,1-2-0
Lonestar SC Black ECNL B08,1,2,0,3,4,5,-1,1.33,3,0.33,0.75,0.56,0.6,ECNL Boys Texas 2024-25,1-2-0
Supreme FC ECNL B08,2,0,0,2,6,1,5,3.0,6,1.0,0.46,0.34,0.56,ECNL Boys Florida 2024-25,2-0-0
VSA Rush ECNL B08,1,1,0,2,6,5,1,3.0,3,0.5,1.0,-0.25,0.56,ECNL Boys Heartland 2024-25,1-1-0
Concorde Fire Platinum ECNL B08,1,0,1,2,2,1,1,1.0,4,0.5,0.75,0.21,0.55,ECNL Boys Southeast 2024-25,1-0-1
Concorde Fire Premier ECNL B08,0,2,0,2,1,6,-5,0.5,0,0.0,1.0,0.21,0.55,ECNL Boys Southeast 2024-25,0-2-0
