match_id,home_team,home_team_id,home_team_club_id,away_team,away_team_id,away_team_club_id,home_score,away_score,date
709520,Dynamos USC TX RL B08,44470,3321,210 FC WHITE USC TX RL B08 II,94828,3603,0,0,0001-01-01
709523,210 FC BLACK USC TX RL B08,80690,3603,Lake Travis USC TX RL B08,94816,4557,8,0,2024-09-07
709526,210 FC BLACK USC TX RL B08,80690,3603,One World Soccer USC TX RL B08,92235,2251,0,0,2024-09-08
709465,210 FC WHITE USC TX RL B08 II,94828,3603,LSC  Nth USC TX RL B08,94173,62,2,0,2024-09-08
709521,Cedar Stars Rush Houston USC TX RL B08,50750,3489,956 United USC TX RL B08,93938,4530,0,0,2024-09-07
664927,De Anza Force RL B08,94952,2510,Ajax United RL B08 Academy,93763,551,4,0,2024-08-18
664987,Walnut Creek Surf ECNL RL B08,85546,3983,Ajax United RL B08 Academy,93763,551,2,1,2024-09-07
712592,FC Alliance ECNL RL B08,57717,1693,Alabama FC ECNL RL B08,57683,18,0,5,2024-09-07
712598,Chattanooga Red Wolves SC ECNL RL B08,96249,3232,Alabama FC ECNL RL B08,57683,18,0,14,2024-09-08
696519,Albion Hurricanes FC ECNL RL B08,57747,10,SAFC Red ECRL B08,95200,4304,0,0,2024-08-31
696525,Albion Hurricanes FC ECNL RL B08,57747,10,San Antonio City SC ECNL RL B08,57773,2519,0,0,2024-09-01
696534,RISE SC - ECNL Navy RL B08,80401,1772,Albion Hurricanes FC ECNL RL B08,57747,10,2,3,2024-09-08
694329,Arkansas Rising ECNL RL B08,62100,3594,Arkansas Comets FC ECNL RL B08,81777,3585,2,0,2024-08-31
694353,Blitz Academy ECNL RL B08,81700,3620,Arkansas Comets FC ECNL RL B08,81777,3585,1,4,2024-09-08
694347,Arkansas Rising ECNL RL B08,62100,3594,Blitz Academy ECNL RL B08,81700,3620,3,2,2024-09-02
676513,Arlington Soccer ECNL RL B08,82228,525,Strikers ECNL RL B08,47972,83,1,0,2024-08-25
676528,Stafford Revolution ECNL RL B08,48029,636,Arlington Soccer ECNL RL B08,82228,525,2,2,2024-09-08
673235,SC Surf ECNL RL B08,81246,3644,Atlanta Fire United ECNL RL B08,57698,14,3,0,2024-08-18
673245,Atlanta Fire United ECNL RL B08,57698,14,United Futbol Academy RL B08,57741,3407,2,1,2024-08-24
673227,Atlanta Fire United ECNL RL B08,57698,14,GSA ECNL RL B08,57723,56,1,3,2024-08-25
673407,Atlanta Fire United ECNL RL B08,57698,14,SC Surf ECNL RL B08,81246,3644,2,2,2024-09-07
681209,Avanti SA Blue ECNL RL NTX B08,81166,4068,BVBIA ECNL RL NTX B08,67340,1771,1,2,2024-08-17
681222,Avanti SA White ECNL RL NTX B08,69800,4068,SOLAR WHITE ECNL RL NTX B08,69837,101,1,4,2024-08-31
681231,FC Dallas Blue ECNL RL NTX B08,68782,47,Avanti SA Blue ECNL RL NTX B08,81166,4068,2,0,2024-08-31
681251,Dallas Texans ECNL RL NTX B08,69171,37,Avanti SA White ECNL RL NTX B08,69800,4068,3,1,2024-09-01
681259,Avanti SA Blue ECNL RL NTX B08,81166,4068,Renegades SC ECNL RL NTX B08,69130,2738,0,2,2024-09-01
681312,Avanti SA Blue ECNL RL NTX B08,81166,4068,Avanti SA White ECNL RL NTX B08,69800,4068,0,3,2024-09-08
692966,Beach FC ECNL RL B08,47440,16,Pateadores ECNL RL B08,47198,186,0,0,2024-09-08
676511,FC Richmond  ECNL RL B08,69476,627,Beach FC (VA) ECNL RL B08,67845,628,0,4,2024-08-25
676520,Beach FC (VA) ECNL RL B08,67845,628,Richmond Kickers ECNL RL B08,47693,633,1,2,2024-09-08
