team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Eagles SC ECNL G09,2,0,0,2,6,1,5,3.0,6,1.0,1.0,0.5,0.88,ECNL Girls Southwest 2024-25,2-0-0
FC Prime ECNL G09,2,0,0,2,6,1,5,3.0,6,1.0,1.0,0.5,0.88,ECNL Girls Southeast 2024-25,2-0-0
FC Dallas ECNL G09,2,0,0,2,7,1,6,3.5,6,1.0,0.75,0.75,0.81,ECNL Girls Texas 2024-25,2-0-0
Colorado Rapids ECNL G09,1,2,0,3,4,7,-3,1.33,3,0.33,0.83,0.75,0.69,ECNL Girls Texas 2024-25,1-2-0
Real Colorado National ECNL G09,2,1,0,3,6,4,2,2.0,6,0.67,0.67,0.69,0.68,ECNL Girls Texas 2024-25,2-1-0
Sting Austin ECNL G09,1,0,1,2,7,3,4,3.5,4,0.5,1.0,0.12,0.66,ECNL Girls Texas 2024-25,1-0-1
Concorde Fire Premier ECNL G09,0,2,0,2,1,7,-6,0.5,0,0.0,1.0,0.5,0.62,ECNL Girls Southeast 2024-25,0-2-0
Albion Hurricanes FC ECNL G09,2,0,0,2,5,0,5,2.5,6,1.0,0.25,0.92,0.6,ECNL Girls Texas 2024-25,2-0-0
Real Colorado Athletico ECNL G09,0,3,0,3,1,6,-5,0.33,0,0.0,1.0,0.36,0.59,ECNL Girls Texas 2024-25,0-3-0
Rockford Raptors ECNL G09,2,0,0,2,6,2,4,3.0,6,1.0,0.42,0.52,0.59,ECNL Girls Midwest 2024-25,2-0-0
Colorado Rush ECNL G09,1,2,0,3,3,6,-3,1.0,3,0.33,0.83,0.31,0.57,ECNL Girls Texas 2024-25,1-2-0
MVLA ECNL G09,3,0,0,3,14,1,13,4.67,9,1.0,0.25,0.78,0.57,ECNL Girls Northern Cal 2024-25,3-0-0
Dallas Texans ECNL G09,1,1,0,2,3,4,-1,1.5,3,0.5,0.5,0.75,0.56,ECNL Girls Texas 2024-25,1-1-0
Tampa Bay United ECNL G09,1,1,0,2,2,7,-5,1.0,3,0.5,1.0,-0.25,0.56,ECNL Girls Southeast 2024-25,1-1-0
SLSG Navy ECNL G09,1,0,1,2,2,0,2,1.0,4,0.5,0.75,0.21,0.55,ECNL Girls Midwest 2024-25,1-0-1
San Juan SC ECNL G09,2,0,1,3,10,5,5,3.33,7,0.67,0.5,0.5,0.54,ECNL Girls Northern Cal 2024-25,2-0-1
Davis Legacy ECNL G09,2,1,0,3,5,6,-1,1.67,6,0.67,0.5,0.36,0.51,ECNL Girls Northern Cal 2024-25,2-1-0
Sporting Blue Valley ECNL G09,2,2,0,4,5,8,-3,1.25,6,0.5,0.54,0.47,0.51,ECNL Girls Midwest 2024-25,2-2-0
CESA Liberty ECNL G09,1,1,0,2,4,5,-1,2.0,3,0.5,0.5,0.5,0.5,ECNL Girls Southeast 2024-25,1-1-0
De Anza Force ECNL G09,0,2,0,2,0,9,-9,0.0,0,0.0,1.0,0.0,0.5,ECNL Girls Northern Cal 2024-25,0-2-0
Florida Krush ECNL G09,1,1,0,2,4,4,0,2.0,3,0.5,0.5,0.5,0.5,ECNL Girls Southeast 2024-25,1-1-0
Orlando City ECNL G09,1,1,0,2,5,3,2,2.5,3,0.5,0.5,0.5,0.5,ECNL Girls Southeast 2024-25,1-1-0
Phoenix Rising ECNL G09,1,1,0,2,1,4,-3,0.5,3,0.5,0.5,0.5,0.5,ECNL Girls Southwest 2024-25,1-1-0
South Carolina United ECNL G09,1,1,0,2,5,3,2,2.5,3,0.5,0.5,0.5,0.5,ECNL Girls Southeast 2024-25,1-1-0
Utah Royals FC-AZ ECNL G09,1,1,0,2,2,2,0,1.0,3,0.5,0.5,0.5,0.5,ECNL Girls Southwest 2024-25,1-1-0
Kansas City Athletics ECNL G09,2,1,1,4,11,5,6,2.75,7,0.5,0.5,0.47,0.49,ECNL Girls Midwest 2024-25,2-1-1
Bay Area Surf ECNL G09,1,1,0,2,2,3,-1,1.0,3,0.5,0.5,0.42,0.48,ECNL Girls Northern Cal 2024-25,1-1-0
Eclipse Select SC ECNL G09,2,0,2,4,13,5,8,3.25,8,0.5,0.42,0.53,0.47,ECNL Girls Midwest 2024-25,2-0-2
FC Wisconsin ECNL G09,0,3,0,3,1,6,-5,0.33,0,0.0,0.75,0.35,0.46,ECNL Girls Midwest 2024-25,0-3-0
Mustang SC ECNL G09,1,1,1,3,4,5,-1,1.33,4,0.33,0.5,0.5,0.46,ECNL Girls Northern Cal 2024-25,1-1-1
Midwest United FC ECNL G09,1,0,0,1,2,1,1,2.0,3,1.0,0.0,0.75,0.44,ECNL Girls Midwest 2024-25,1-0-0
Placer United ECNL G09,0,2,1,3,2,5,-3,0.67,1,0.0,0.83,0.11,0.44,ECNL Girls Northern Cal 2024-25,0-2-1
Michigan Hawks ECNL G09,3,0,0,3,8,0,8,2.67,9,1.0,0.08,0.5,0.41,ECNL Girls Midwest 2024-25,3-0-0
Tulsa SC ECNL G09,1,1,0,2,3,4,-1,1.5,3,0.5,0.25,0.62,0.41,ECNL Girls Texas 2024-25,1-1-0
Marin FC ECNL G09,1,2,0,3,5,7,-2,1.67,3,0.33,0.5,0.25,0.4,ECNL Girls Northern Cal 2024-25,1-2-0
Liverpool FC IA Michigan ECNL G09,1,2,0,3,3,6,-3,1.0,3,0.33,0.42,0.38,0.39,ECNL Girls Midwest 2024-25,1-2-0
Alabama FC ECNL G09,2,0,0,2,6,2,4,3.0,6,1.0,0.0,0.5,0.38,ECNL Girls Southeast 2024-25,2-0-0
Gretna Elite Academy ECNL G09,1,1,2,4,6,6,0,1.5,5,0.25,0.48,0.31,0.38,ECNL Girls Midwest 2024-25,1-1-2
Sporting Iowa ECNL G09,0,3,1,4,2,13,-11,0.5,1,0.0,0.58,0.31,0.37,ECNL Girls Midwest 2024-25,0-3-1
Challenge SC ECNL G09,1,1,0,2,2,3,-1,1.0,3,0.5,0.0,0.92,0.35,ECNL Girls Texas 2024-25,1-1-0
Chicago Inter Soccer ECNL G09,1,2,1,4,4,8,-4,1.0,4,0.25,0.29,0.53,0.34,ECNL Girls Midwest 2024-25,1-2-1
Florida Elite ECNL G09,0,1,1,2,1,3,-2,0.5,1,0.0,1.0,-0.62,0.34,ECNL Girls Southeast 2024-25,0-1-1
Michigan Hawks Magic ECNL G09,0,2,1,3,2,6,-4,0.67,1,0.0,0.44,0.38,0.32,ECNL Girls Midwest 2024-25,0-2-1
Pleasanton RAGE ECNL G09,0,2,1,3,2,4,-2,0.67,1,0.0,0.33,0.61,0.32,ECNL Girls Northern Cal 2024-25,0-2-1
GSA ECNL G09,1,1,0,2,4,3,1,2.0,3,0.5,0.0,0.75,0.31,ECNL Girls Southeast 2024-25,1-1-0
Nationals SC ECNL G09,2,0,1,3,6,1,5,2.0,7,0.67,0.0,0.52,0.3,ECNL Girls Midwest 2024-25,2-0-1
OK Energy FC ECNL G09,1,0,1,2,8,7,1,4.0,4,0.5,0.0,0.62,0.28,ECNL Girls Texas 2024-25,1-0-1
Charlotte SA ECNL G09,1,0,0,1,2,0,2,2.0,3,1.0,0.0,0.0,0.25,ECNL Girls Mid-Atlantic 2024-25,1-0-0
LV Heat Surf ECNL G09,1,0,0,1,7,0,7,7.0,3,1.0,0.0,0.0,0.25,ECNL Girls Southwest 2024-25,1-0-0
NC Courage ECNL G09,1,0,0,1,3,0,3,3.0,3,1.0,0.0,0.0,0.25,ECNL Girls Mid-Atlantic 2024-25,1-0-0
NCFC Youth ECNL G09,0,2,0,2,0,8,-8,0.0,0,0.0,1.0,-1.0,0.25,ECNL Girls Mid-Atlantic 2024-25,0-2-0
Slammers FC HB Koge ECNL G09,1,0,0,1,3,0,3,3.0,3,1.0,0.0,0.0,0.25,ECNL Girls Southwest 2024-25,1-0-0
So Cal Blues ECNL G09,1,0,0,1,1,0,1,1.0,3,1.0,0.0,0.0,0.25,ECNL Girls Southwest 2024-25,1-0-0
Sting Royal ECNL G09,1,0,0,1,2,0,2,2.0,3,1.0,0.0,0.0,0.25,ECNL Girls Texas 2024-25,1-0-0
Wilmington Hammerheads ECNL G09,0,2,0,2,2,5,-3,1.0,0,0.0,1.0,-1.0,0.25,ECNL Girls Mid-Atlantic 2024-25,0-2-0
SLSG Green ECNL G09,0,2,0,2,1,5,-4,0.5,0,0.0,0.38,0.21,0.24,ECNL Girls Midwest 2024-25,0-2-0
Santa Rosa United ECNL G09,2,1,0,3,4,3,1,1.33,6,0.67,-0.25,0.78,0.24,ECNL Girls Northern Cal 2024-25,2-1-0
Jacksonville FC ECNL G09,0,2,0,2,3,7,-4,1.5,0,0.0,0.75,-0.62,0.22,ECNL Girls Southeast 2024-25,0-2-0
Concorde Fire Platinum ECNL G09,2,0,0,2,10,1,9,5.0,6,1.0,-0.5,0.75,0.19,ECNL Girls Southeast 2024-25,2-0-0
FL Premier FC ECNL G09,0,2,0,2,2,7,-5,1.0,0,0.0,0.5,-0.25,0.19,ECNL Girls Southeast 2024-25,0-2-0
Classics Elite ECNL G09,0,2,0,2,4,8,-4,2.0,0,0.0,0.25,0.12,0.15,ECNL Girls Texas 2024-25,0-2-0
Florida West FC ECNL G09,0,2,0,2,2,8,-6,1.0,0,0.0,0.0,0.5,0.12,ECNL Girls Southeast 2024-25,0-2-0
LAFC So Cal ECNL G09,0,2,0,2,0,2,-2,0.0,0,0.0,0.0,0.5,0.12,ECNL Girls Southwest 2024-25,0-2-0
Atlanta Fire United ECNL G09,2,0,0,2,6,3,3,3.0,6,1.0,-0.75,0.88,0.1,ECNL Girls Southeast 2024-25,2-0-0
United Futbol Academy ECNL G09,1,0,1,2,4,1,3,2.0,4,0.5,-0.5,0.88,0.1,ECNL Girls Southeast 2024-25,1-0-1
Arlington Soccer ECNL G09,2,0,0,2,4,1,3,2.0,6,1.0,-1.0,1.0,0.0,ECNL Girls Mid-Atlantic 2024-25,2-0-0
Beach FC ECNL G09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-0-1
Charlotte Independence ECNL G09,0,1,0,1,0,2,-2,0.0,0,0.0,0.0,0.0,0.0,ECNL Girls Mid-Atlantic 2024-25,0-1-0
Fairfax Virginia Union ECNL G09,2,0,0,2,9,1,8,4.5,6,1.0,-1.0,1.0,0.0,ECNL Girls Mid-Atlantic 2024-25,2-0-0
LA Breakers FC ECNL G09,0,1,0,1,0,3,-3,0.0,0,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-1-0
Legends FC San Diego ECNL G09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-0-1
NC Fusion ECNL G09,0,1,0,1,0,3,-3,0.0,0,0.0,0.0,0.0,0.0,ECNL Girls Mid-Atlantic 2024-25,0-1-0
Pateadores ECNL G09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-0-1
Rebels SC ECNL G09,0,1,0,1,0,7,-7,0.0,0,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-1-0
San Diego Surf ECNL G09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-0-1
Sporting California USA ECNL G09,0,1,0,1,0,1,-1,0.0,0,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-1-0
Sting Black ECNL G09,0,1,0,1,0,2,-2,0.0,0,0.0,0.0,0.0,0.0,ECNL Girls Texas 2024-25,0-1-0
