match_id,home_team,home_team_id,home_team_club_id,away_team,away_team_id,away_team_club_id,home_score,away_score,date
705277,AHFC West USC TX RL G09,69033,10,210 FC USC TX RL G09,95134,3603,3,0,2024-09-07
705282,AHFC East USC TX RL G09,82222,10,210 FC USC TX RL G09,95134,3603,5,1,2024-09-08
659457,Sporting Iowa ECNL RL G09,59749,3483,AFA Fillies ECNL RL G09,79598,4318,0,2,2024-08-25
660762,CESA Liberty ECNL RL G09,60121,380,Alabama FC ECNL RL G09,57550,18,3,0,2024-08-24
660778,South Carolina United ECNL RL G09,60000,1689,Alabama FC ECNL RL G09,57550,18,0,0,2024-08-25
660810,Alabama FC ECNL RL G09,57550,18,Concorde Fire Platinum ECNL RL G09,57564,30,2,1,2024-09-01
670085,Albion Hurricanes FC ECNL RL G09,59349,10,Lonestar SC ECNL RL G09,95119,62,0,0,2024-08-31
670084,Albion Hurricanes FC ECNL RL G09,59349,10,FC Westlake ECNL RL G09,69000,3234,1,0,2024-09-01
658393,Arkansas Comets FC ECNL RL G09,90157,3585,FC Wichita ECNL RL G09,60477,3486,0,0,2024-08-24
658417,Arkansas Comets FC ECNL RL G09,90157,3585,Blitz Academy FC ECNL RL G09,95160,3620,0,0,2024-08-31
658421,Arkansas Comets FC ECNL RL G09,90157,3585,NEOFC ECNL RL G09,94782,3588,6,2,2024-09-01
658429,Arkansas Comets FC ECNL RL G09,90157,3585,West Side Alliance OKC ECNL RL G09,78755,3587,12,0,2024-09-07
658441,Arkansas Comets FC ECNL RL G09,90157,3585,Oklahoma Cosmos ECNL RL G09,91927,2250,4,0,2024-09-08
670188,Dallas Texans ECNL RL G09,60004,37,Arkansas Rising ECNL RL G09,57849,3594,0,0,2024-08-24
670131,FC Dallas ECNL RL G09,69489,47,Arkansas Rising ECNL RL G09,57849,3594,2,1,2024-08-25
676829,Arlington Soccer ECNL RL G09,82217,525,Strikers ECNL RL G09,36683,83,0,2,2024-08-25
676842,Stafford Revolution ECNL RL G09,14961,636,Arlington Soccer ECNL RL G09,82217,525,0,2,2024-09-08
701092,Colorado Rapids South ECNL RL G09,82407,29,Arsenal Colorado ECNL RL G09,78465,2232,4,0,2024-08-24
701108,Arsenal Colorado ECNL RL G09,78465,2232,Real Colorado Olympico ECNL RL G09,73601,81,1,3,2024-09-07
637669,Association FC RL G09,84600,3065,Stanislaus United SC RL G09,62306,2246,0,4,2024-08-18
637665,Walnut Creek Surf RL G09,32825,3983,Association FC RL G09,84600,3065,0,1,2024-08-24
637673,San Juan South RL G09,60364,3218,Association FC RL G09,84600,3065,1,0,2024-09-07
660754,Concorde Fire Platinum ECNL RL G09,57564,30,Atlanta Fire United ECNL RL G09,57556,14,2,1,2024-08-24
660770,GSA ECNL RL G09,57576,56,Atlanta Fire United ECNL RL G09,57556,14,0,2,2024-08-25
660794,South Carolina United ECNL RL G09,60000,1689,Atlanta Fire United ECNL RL G09,57556,14,2,3,2024-08-31
660802,CESA Liberty ECNL RL G09,60121,380,Atlanta Fire United ECNL RL G09,57556,14,3,1,2024-09-01
668716,Beach FC ECNL RL G09,60054,16,Legends FC San Diego ECNL RL G09,53811,39,0,0,2024-09-08
676827,FC Richmond ECNL RL G09,69475,627,Beach FC (VA) ECNL RL G09,67856,628,0,3,2024-08-25
676835,Beach FC (VA) ECNL RL G09,67856,628,Richmond Kickers ECNL RL G09,36835,633,0,0,2024-09-08
658405,NEOFC ECNL RL G09,94782,3588,Blitz Academy FC ECNL RL G09,95160,3620,0,0,2024-08-25
658425,Sporting Springfield ECNL RL G09,72258,3584,Blitz Academy FC ECNL RL G09,95160,3620,0,6,2024-09-01
676833,BRYC Elite Academy ECNL RL G09,68950,357,Great Falls Reston Soccer Club ECNL RL G09,48017,1288,0,5,2024-08-25
676839,BRYC Elite Academy ECNL RL G09,68950,357,Vienna Youth Soccer ECNL RL G09,36859,528,1,2,2024-09-08
682097,FC Dallas Blue ECNL RL NTX G09,69567,47,BVBIA ECNL RL NTX G09,66862,1771,0,0,2024-08-18
682142,BVBIA ECNL RL NTX G09,66862,1771,FC Dallas White ECNL RL NTX G09,81996,47,2,0,2024-08-31
682162,Kernow Storm FC ECNL RL NTX G09,96366,3694,BVBIA ECNL RL NTX G09,66862,1771,4,1,2024-09-01
682217,Dallas Texans ECNL RL NTX G09,95375,37,BVBIA ECNL RL NTX G09,66862,1771,10,2,2024-09-08
643036,Cape Coral Cyclones ECNL RL G09,94399,3390,FL Premier FC SWFL ECNL RL G09,50557,2731,2,3,2024-08-17
643144,Team Boca Soccer - ECNL RL G09,90381,390,Cape Coral Cyclones ECNL RL G09,94399,3390,4,0,2024-09-07
643150,Sunrise Surf  - ECNL RL G09,95176,358,Cape Coral Cyclones ECNL RL G09,94399,3390,11,2,2024-09-08
660782,CESA Liberty ECNL RL G09,60121,380,Concorde Fire Premier ECNL RL G09,57570,30,5,0,2024-08-25
660798,CESA Liberty ECNL RL G09,60121,380,United Futbol Academy ECNL RL G09,57582,3407,1,1,2024-08-31
705288,Imperial Black USC TX RL G09,59650,3718,CHALLENGE USC TX RL G09,44388,25,3,1,2024-09-08
697696,NC Fusion ECNL RL G09,59926,71,Charlotte Independence ECNL RL G09,59089,1010,2,4,2024-09-07
697504,Highland FC ECNL RL G09,69649,4012,Charlotte Independence South RL G09,59361,1010,0,1,2024-09-08
697492,Highland FC ECNL RL G09,69649,4012,Charlotte SA Blue ECNL RL G09,59875,26,2,3,2024-09-07
659265,Evolution SC Mercurial ECNL RL G09,69822,3031,Chicago Inter Soccer ECNL RL G09,82152,2167,0,0,2024-09-07
659285,Eclipse Select SC ECNL RL G09,57668,43,Chicago Inter Soccer ECNL RL G09,82152,2167,0,0,2024-09-08
670156,OK Energy FC ECNL RL G09,59496,2133,Classics Elite ECNL RL G09,55485,1375,2,1,2024-08-31
670162,Oklahoma Celtic ECNL RL G09,55439,2134,Classics Elite ECNL RL G09,55485,1375,3,0,2024-09-01
705276,AHFC Central USC TX RL G09 II,48267,10,Coastal Premier West USC TX RL G09,80417,3522,2,0,2024-09-07
705274,Coastal Premier USC TX RL G09,57529,3522,LSC NTH USC TX RL G09,96281,62,5,0,2024-09-07
705284,Coastal Premier West USC TX RL G09,80417,3522,LSC White USC TX RL G09,94163,62,0,0,2024-09-08
705287,Coastal Premier USC TX RL G09,57529,3522,AHFC Central USC TX RL G09 II,48267,10,2,3,2024-09-08
642496,Coastal Rush ECNL RL G09,78919,4319,FL Premier FC - ECNL RL G09,48099,2731,5,1,2024-08-25
642502,Coastal Rush ECNL RL G09,78919,4319,Florida Celtic Soccer Club ECNL RL G09,47855,3424,2,0,2024-09-01
642508,Florida Elite ECNL RL G09,45065,1353,Coastal Rush ECNL RL G09,78919,4319,1,4,2024-09-07
642514,Jacksonville FC ECNL RL G09,79964,990,Coastal Rush ECNL RL G09,78919,4319,0,1,2024-09-08
701104,Pride SC ECNL RL G09,48226,2335,Colorado EDGE ECNL RL G09,72822,3639,0,1,2024-08-25
701112,Colorado Rush ECNL RL G09,94984,28,Colorado EDGE ECNL RL G09,72822,3639,1,4,2024-09-07
701120,Colorado EDGE ECNL RL G09,72822,3639,Real Colorado Olympico ECNL RL G09,73601,81,0,0,2024-09-08
701100,Colorado Rapids North ECNL RL G09,82646,29,Colorado Rush ECNL RL G09,94984,28,2,1,2024-08-25
701116,Colorado Rapids North ECNL RL G09,82646,29,Colorado Rapids South ECNL RL G09,82407,29,0,0,2024-09-08
701096,Real Colorado Olympico ECNL RL G09,73601,81,Colorado Rush ECNL RL G09,94984,28,0,4,2024-08-24
701124,Colorado Rush ECNL RL G09,94984,28,Pride SC ECNL RL G09,48226,2335,4,1,2024-09-08
660766,South Carolina United ECNL RL G09,60000,1689,Concorde Fire Premier ECNL RL G09,57570,30,6,0,2024-08-24
660774,Concorde Fire Platinum ECNL RL G09,57564,30,United Futbol Academy ECNL RL G09,57582,3407,0,0,2024-08-25
660790,Concorde Fire Premier ECNL RL G09,57570,30,Concorde Fire Platinum ECNL RL G09,57564,30,0,6,2024-08-31
660814,Concorde Fire Premier ECNL RL G09,57570,30,GSA ECNL RL G09,57576,56,0,0,2024-09-01
682089,Dallas Surf ECNL RL NTX G09,66430,3957,Dallas Texans ECNL RL NTX G09,95375,37,0,5,2024-08-18
682133,Sting One ECNL RL NTX G09,48668,36,Dallas Surf ECNL RL NTX G09,66430,3957,1,2,2024-08-31
682182,Dallas Surf ECNL RL NTX G09,66430,3957,SOLAR RED ECNL RL NTX G09,82398,101,0,2,2024-09-01
682201,Dallas Surf ECNL RL NTX G09,66430,3957,Kernow Storm FC ECNL RL NTX G09,96366,3694,3,2,2024-09-07
