team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Concorde Fire Premier ECNL B10,1,2,0,3,7,8,-1,2.33,3,0.33,0.56,0.36,0.45,ECNL Boys Southeast 2024-25,1-2-0
Concorde Fire Platinum ECNL B10,3,0,0,3,14,2,12,4.67,9,1.0,0.11,0.51,0.43,ECNL Boys Southeast 2024-25,3-0-0
Atlanta Fire United ECNL B10,2,0,2,4,7,5,2,1.75,8,0.5,0.31,0.56,0.42,ECNL Boys Southeast 2024-25,2-0-2
San Juan SC ECNL B10,0,2,0,2,1,7,-6,0.5,0,0.0,0.75,0.17,0.42,ECNL Boys Northern Cal 2024-25,0-2-0
Chattanooga Red Wolves SC ECNL B10,0,2,1,3,2,9,-7,0.67,1,0.0,0.64,0.37,0.41,ECNL Boys Mid-America 2024-25,0-2-1
FC Alliance ECNL B10,1,1,1,3,6,5,1,2.0,4,0.33,0.44,0.44,0.41,ECNL Boys Mid-America 2024-25,1-1-1
Mississippi Rush United ECNL B10,1,1,1,3,5,4,1,1.67,4,0.33,0.36,0.55,0.4,ECNL Boys Mid-America 2024-25,1-1-1
CESA Triumph ECNL B10,1,3,0,4,7,12,-5,1.75,3,0.25,0.43,0.45,0.39,ECNL Boys Southeast 2024-25,1-3-0
COSC ECNL B10,1,1,0,2,3,2,1,1.5,3,0.5,0.25,0.5,0.38,ECNL Boys Northern Cal 2024-25,1-1-0
FC Dallas White ECNL B10,1,2,0,3,4,6,-2,1.33,3,0.33,0.17,0.86,0.38,ECNL Boys Texas 2024-25,1-2-0
United Futbol Academy ECNL B10,0,3,1,4,5,9,-4,1.25,1,0.0,0.54,0.42,0.38,ECNL Boys Southeast 2024-25,0-3-1
Albion Hurricanes ECNL B10,1,0,2,3,2,1,1,0.67,5,0.33,0.33,0.47,0.36,ECNL Boys Texas 2024-25,1-0-2
Palm Beach Gardens ECNL B10,1,0,1,2,3,1,2,1.5,4,0.5,0.1,0.7,0.35,ECNL Boys Florida 2024-25,1-0-1
RISE SC ECNL B10,0,1,2,3,1,2,-1,0.33,2,0.0,0.5,0.42,0.35,ECNL Boys Texas 2024-25,0-1-2
FC Westlake ECNL B10,1,1,0,2,1,3,-2,0.5,3,0.5,0.12,0.54,0.32,ECNL Boys Texas 2024-25,1-1-0
Davis Legacy ECNL B10,0,1,1,2,1,3,-2,0.5,1,0.0,0.5,0.25,0.31,ECNL Boys Northern Cal 2024-25,0-1-1
SAFC ECNL B10,1,0,2,3,4,0,4,1.33,5,0.33,0.17,0.55,0.31,ECNL Boys Texas 2024-25,1-0-2
Sporting Nebraska FC ECNL B10,1,1,0,2,2,2,0,1.0,3,0.5,0.0,0.75,0.31,ECNL Boys Heartland 2024-25,1-1-0
