id,name,full_name,city,logo,state_code,org_id,org_season_id,event_id
4068,Avanti Soccer Academy,Avanti Soccer Academy,Dallas,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/454396322db3427dbfb014411fd9640a_Avanti_TGS.png,TX,22,67,3276
592,AZ Arsenal,AZ Arsenal,Phoenix,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/_ea27d5ee27dd48678c87e0e067ab4c71_ArsenalAZ.jpg,AZ,22,67,3275
494,Baltimore Celtic Soc...,Baltimore Celtic Soccer Club,Mount Airy,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Nina_Cuccinello_5760953f94024802941faab6a6850225_celtic6sta.png,MD,22,67,3278
16,Beach FC  (CA),Beach FC  (CA),Torrance,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Beach-FC.jpg,CA,22,67,3280
2419,Bloomingdale Lightni...,Bloomingdale Lightning FC ,Elgin,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/f93f3613fc4d4db28b184f6c1ec5bf38_Screenshot.png,IL,22,67,3338
1771,BVB International Ac...,BVB International Academy,Carrollton,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Ivan_Orozco_58eea4a406a94ed7bdfd3b2757f2fcf1_BVB_portra.png,TX,22,67,3276
4578,Canton Force,Canton Force,North Royalton,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerImage/Kory_Patterson_23f5f5e162414a39b8b0857fa79b2b3e.png,OH,22,67,3210
1936,CCV Stars,CCV Stars,Peoria,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Elias_Tafolla_72ddded998d3434e8ea63f0cd5142005_StarsSC_Lo.jpg,AZ,22,67,3275
2476,Chicago City SC,Chicago City SC,chicago,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerImage/Katie_Reinhart_c4a7deb0b9514507bee0c4a5ac01c71d.png,IL,22,67,3338
2167,Chicago Inter Soccer,Chicago Inter Soccer,New Lenox,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/ronaldo_ramirez_bf77238fb93e4c909d8d11c75c9f121a_IMG_26371.png,IL,22,67,3338
2106,Chicago Magic ,Chicago Magic ,Highland Park,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Daniel_Delarosa_a21f10f9214e43a2aaa148b8573f12e8_3083089751.jpg,IL,22,67,3338
4087,Cincinnati Elite FC,Cincinnati Elite FC,Cincinnati,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Alex_Garcia_458ab186957b47238dec32c91ee88656_Cincinnati.png,OH,22,67,3210
384,Cincinnati United So...,Cincinnati United Soccer Club,Cincinnati,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/CinnUnited.jpg,OH,22,67,3210
3478,Cleveland Force SC,Cleveland Force SC,Bedford Heights,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Ella_Neumann_73806358b04141acb9101a388a400c10_CFSC Logo no outline.png,OH,22,67,3210
4079,Club Ohio,Club Ohio,Dublin,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/1a575300a46347ca8ba19d463cc8be9c_Club_Ohio_.png,OH,22,67,3210
4075,Columbus Force SC,Columbus Force SC,Lewis Center,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Kili_Skibby_8a4ad454e1a748458286fbc2fb169445_COF_Logo_2.png,OH,22,67,3210
31,Connecticut FC,Connecticut FC,Bethany,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Connecticut-FC.jpg,CT,22,67,3277
4326,Crystal Lake Force,Crystal Lake Force,Crystal Lake,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/0ff48820e45445c2a192897b9c3e8484_Crystal_La.png,IL,22,67,3338
3957,Dallas Surf SC,Dallas Surf SC,Irving,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/60891860a0c945bb8fd3d7f5daf71b9e_DallasSurf.png,TX,22,67,3276
37,Dallas Texans,Dallas Texans,Dallas,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Dallas-Texans.jpg,TX,22,67,3276
35,DKSC,DKSC,Farmers Branch,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Michelle_Romero_95a17839549148849f22842dba1cb6ce_DKCSLogoFI.jpg,TX,22,67,3276
