team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Sporting Iowa ECNL-RL B09,3,0,1,4,13,1,12,3.25,10,0.75,0.15,0.48,0.38,ECNL Regional League Boys Heartland 2024-25,3-0-1
Albion Hurricanes FC ECNL RL B09,0,1,2,3,0,2,-2,0.0,2,0.0,0.58,0.31,0.37,ECNL Regional League Boys Texas 2024-25,0-1-2
SOLAR RED ECNL RL NTX B09,0,4,0,4,3,15,-12,0.75,0,0.0,0.5,0.49,0.37,ECNL Regional League Boys North Texas 2024-25,0-4-0
Avanti SA Blue ECNL RL NTX B09,1,1,2,4,4,4,0,1.0,5,0.25,0.38,0.45,0.36,ECNL Regional League Boys North Texas 2024-25,1-1-2
FC Dallas Blue ECNL RL NTX B09,1,2,1,4,3,4,-1,0.75,4,0.25,0.4,0.4,0.36,ECNL Regional League Boys North Texas 2024-25,1-2-1
Avanti SA White ECNL RL NTX B09,1,1,1,3,2,2,0,0.67,4,0.33,0.36,0.34,0.35,ECNL Regional League Boys North Texas 2024-25,1-1-1
FL Premier FC SWFL ECNL RL B09,3,0,1,4,6,2,4,1.5,10,0.75,0.12,0.43,0.35,ECNL Regional League Boys Florida 2024-25,3-0-1
SOLAR WHITE ECNL RL NTX B09,1,1,1,3,7,3,4,2.33,4,0.33,0.25,0.57,0.35,ECNL Regional League Boys North Texas 2024-25,1-1-1
Valley Surf RL B09,0,2,0,2,2,9,-7,1.0,0,0.0,0.62,0.17,0.35,ECNL Regional League Boys NorCal 2024-25,0-2-0
Gretna Elite Academy ECNL RL B09,0,2,1,3,2,12,-10,0.67,1,0.0,0.53,0.29,0.34,ECNL Regional League Boys Heartland 2024-25,0-2-1
Arkansas Comets FC ECNL RL B09,0,2,0,2,2,5,-3,1.0,0,0.0,0.67,-0.04,0.33,ECNL Regional League Boys Frontier 2024-25,0-2-0
Blitz Academy ECNL RL B09,2,2,0,4,8,7,1,2.0,6,0.5,0.25,0.33,0.33,ECNL Regional League Boys Frontier 2024-25,2-2-0
FC Prime ECNL RL B09,0,2,0,2,2,6,-4,1.0,0,0.0,0.75,-0.17,0.33,ECNL Regional League Boys Florida 2024-25,0-2-0
Snohomish United ECNL RL B09,0,5,0,5,3,35,-32,0.6,0,0.0,0.35,0.56,0.32,ECNL Regional League Boys Northwest 2024-25,0-5-0
Imperial Red USC TX RL B09,1,0,1,2,5,4,1,2.5,4,0.5,0.0,0.75,0.31,ECNL Regional League Boys USC TX 2024-25,1-0-1
Los Gatos United RL B09,1,2,0,3,3,5,-2,1.0,3,0.33,0.08,0.71,0.3,ECNL Regional League Boys NorCal 2024-25,1-2-0
Tupelo FC ECNL RL B09,0,1,1,2,2,4,-2,1.0,1,0.0,0.42,0.38,0.3,ECNL Regional League Boys Frontier 2024-25,0-1-1
Parkland SC ECNL RL B09,0,1,1,2,3,5,-2,1.5,1,0.0,0.42,0.31,0.29,ECNL Regional League Boys Florida 2024-25,0-1-1
FC Richmond  ECNL RL B09,1,0,1,2,3,2,1,1.5,4,0.5,0.0,0.62,0.28,ECNL Regional League Boys Virginia 2024-25,1-0-1
Florida Elite Tallahassee  ECNL RL B09,0,1,2,3,0,1,-1,0.0,2,0.0,0.28,0.54,0.28,ECNL Regional League Boys Florida 2024-25,0-1-2
Strikers ECNL RL B09,0,2,0,2,2,4,-2,1.0,0,0.0,1.0,-0.88,0.28,ECNL Regional League Boys Virginia 2024-25,0-2-0
Vision Soccer Academy Premier ECNL RL B09,0,3,1,4,0,12,-12,0.0,1,0.0,0.46,0.12,0.26,ECNL Regional League Boys Heartland 2024-25,0-3-1
AHFC SW USC TX RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.5,0.0,0.25,ECNL Regional League Boys Texas 2024-25,0-0-1
Beach FC (VA) ECNL RL B09,1,1,0,2,2,2,0,1.0,3,0.5,0.25,0.0,0.25,ECNL Regional League Boys Virginia 2024-25,1-1-0
Cape Coral Cyclones ECNL  RL B09,1,0,0,1,3,2,1,3.0,3,1.0,0.0,0.0,0.25,ECNL Regional League Boys Florida 2024-25,1-0-0
Eagles SC ECNL RL B09,1,0,0,1,1,0,1,1.0,3,1.0,0.0,0.0,0.25,ECNL Regional League Boys SoCal 2024-25,1-0-0
LV Heat Surf ECNL RL B09,1,0,0,1,4,0,4,4.0,3,1.0,0.0,0.0,0.25,ECNL Regional League Boys SoCal 2024-25,1-0-0
Legends FC USC TX RL B09,0,1,0,1,2,3,-1,2.0,0,0.0,0.5,0.0,0.25,ECNL Regional League Boys USC TX 2024-25,0-1-0
Lonestar SC ECNL RL B09,0,2,0,2,1,5,-4,0.5,0,0.0,0.5,0.0,0.25,ECNL Regional League Boys Texas 2024-25,0-2-0
