team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Space Coast United ECNL B09,1,3,1,5,5,16,-11,1.0,4,0.2,0.53,0.66,0.48,ECNL Boys Florida 2024-25,1-3-1
CESA Triumph ECNL B09,2,1,1,4,7,4,3,1.75,7,0.5,0.41,0.54,0.46,ECNL Boys Southeast 2024-25,2-1-1
FC Dallas Red ECNL B09,1,1,1,3,8,8,0,2.67,4,0.33,0.58,0.36,0.46,ECNL Boys Texas 2024-25,1-1-1
South Carolina United ECNL B09,2,1,1,4,5,5,0,1.25,7,0.5,0.41,0.54,0.46,ECNL Boys Southeast 2024-25,2-1-1
Florida Kraze ECNL B09,1,1,0,2,7,3,4,3.5,3,0.5,0.25,0.79,0.45,ECNL Boys Florida 2024-25,1-1-0
Lonestar SC Black ECNL B09,0,3,0,3,3,12,-9,1.0,0,0.0,0.67,0.47,0.45,ECNL Boys Texas 2024-25,0-3-0
NTH-NASA ECNL B09,4,0,0,4,12,2,10,3.0,12,1.0,0.16,0.47,0.45,ECNL Boys Southeast 2024-25,4-0-0
Concorde Fire Premier ECNL B09,0,0,2,2,1,1,0,0.5,2,0.0,0.67,0.41,0.44,ECNL Boys Southeast 2024-25,0-0-2
Marin FC ECNL B09,0,2,0,2,0,8,-8,0.0,0,0.0,1.0,-0.25,0.44,ECNL Boys Northern Cal 2024-25,0-2-0
FC Westlake ECNL B09,1,1,0,2,6,3,3,3.0,3,0.5,0.38,0.46,0.43,ECNL Boys Texas 2024-25,1-1-0
Alabama FC ECNL B09,3,0,1,4,13,4,9,3.25,10,0.75,0.12,0.65,0.41,ECNL Boys Mid-America 2024-25,3-0-1
Mississippi Rush United ECNL B09,1,2,0,3,7,9,-2,2.33,3,0.33,0.5,0.29,0.41,ECNL Boys Mid-America 2024-25,1-2-0
United Futbol Academy ECNL B09,1,3,0,4,2,7,-5,0.5,3,0.25,0.5,0.36,0.4,ECNL Boys Southeast 2024-25,1-3-0
Chattanooga Red Wolves SC ECNL B09,1,1,1,3,3,5,-2,1.0,4,0.33,0.44,0.35,0.39,ECNL Boys Mid-America 2024-25,1-1-1
GSA ECNL B09,1,3,1,5,5,13,-8,1.0,4,0.2,0.5,0.37,0.39,ECNL Boys Southeast 2024-25,1-3-1
SC Surf ECNL B09,1,1,1,3,4,5,-1,1.33,4,0.33,0.42,0.38,0.39,ECNL Boys Southeast 2024-25,1-1-1
BVBIA ECNL B09,2,0,1,3,10,6,4,3.33,7,0.67,0.08,0.68,0.38,ECNL Boys Texas 2024-25,2-0-1
Mustang SC ECNL B09,2,0,0,2,8,2,6,4.0,6,1.0,0.0,0.5,0.38,ECNL Boys Northern Cal 2024-25,2-0-0
Santa Rosa United ECNL B09,2,0,0,2,5,0,5,2.5,6,1.0,-0.5,1.5,0.38,ECNL Boys Northern Cal 2024-25,2-0-0
Sporting Nebraska FC ECNL B09,0,0,2,2,2,2,0,1.0,2,0.0,0.5,0.5,0.38,ECNL Boys Heartland 2024-25,0-0-2
Tennessee SC ECNL B09,3,1,0,4,15,6,9,3.75,9,0.75,0.0,0.74,0.37,ECNL Boys Mid-America 2024-25,3-1-0
Albion Hurricanes ECNL B09,1,0,2,3,1,0,1,0.33,5,0.33,0.33,0.47,0.36,ECNL Boys Texas 2024-25,1-0-2
HTX ECNL B09,0,0,2,2,0,0,0,0.0,2,0.0,0.5,0.46,0.36,ECNL Boys Texas 2024-25,0-0-2
RISE SC ECNL B09,0,1,2,3,0,1,-1,0.0,2,0.0,0.5,0.42,0.35,ECNL Boys Texas 2024-25,0-1-2
Atlanta Fire United ECNL B09,0,4,0,4,4,8,-4,1.0,0,0.0,0.47,0.4,0.33,ECNL Boys Southeast 2024-25,0-4-0
DKSC ECNL B09,1,0,2,3,8,5,3,2.67,5,0.33,0.17,0.65,0.33,ECNL Boys Texas 2024-25,1-0-2
FC Alliance ECNL B09,0,2,1,3,4,9,-5,1.33,1,0.0,0.44,0.35,0.31,ECNL Boys Mid-America 2024-25,0-2-1
Santa Clara Sporting ECNL B09,2,0,0,2,9,1,8,4.5,6,1.0,-0.5,1.25,0.31,ECNL Boys Northern Cal 2024-25,2-0-0
SAFC ECNL B09,1,0,2,3,4,1,3,1.33,5,0.33,0.17,0.5,0.29,ECNL Boys Texas 2024-25,1-0-2
Tulsa SC ECNL B09,0,3,0,3,1,15,-14,0.33,0,0.0,0.62,-0.08,0.29,ECNL Boys Texas 2024-25,0-3-0
Beach FC (VA) ECNL B09,1,0,0,1,2,0,2,2.0,3,1.0,0.0,0.0,0.25,ECNL Boys Mid-Atlantic 2024-25,1-0-0
Columbia Premier SC ECNL B09,1,0,0,1,2,1,1,2.0,3,1.0,-1.0,2.0,0.25,ECNL Boys Northwest 2024-25,1-0-0
El Camino Futbol Club Salinas ECNL B09,1,1,0,2,3,2,1,1.5,3,0.5,0.0,0.5,0.25,ECNL Boys Northern Cal 2024-25,1-1-0
PacNW SC ECNL B09,1,0,0,1,1,0,1,1.0,3,1.0,0.0,0.0,0.25,ECNL Boys Northwest 2024-25,1-0-0
Rebels SC ECNL B09,1,0,0,1,4,1,3,4.0,3,1.0,0.0,0.0,0.25,ECNL Boys Southwest 2024-25,1-0-0
Skyline Elite ECNL B09,1,0,0,1,2,0,2,2.0,3,1.0,0.0,0.0,0.25,ECNL Boys Mid-Atlantic 2024-25,1-0-0
VSA Rush ECNL B09,0,1,1,2,1,2,-1,0.5,1,0.0,0.25,0.5,0.25,ECNL Boys Heartland 2024-25,0-1-1
Solar SC ECNL B09,0,1,1,2,0,4,-4,0.0,1,0.0,0.25,0.44,0.23,ECNL Boys Texas 2024-25,0-1-1
Dallas Texans Academy ECNL B09,1,0,0,1,8,0,8,8.0,3,1.0,-0.5,0.62,0.15,ECNL Boys Texas 2024-25,1-0-0
Beach FC ECNL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
Eastside FC ECNL B09,0,1,0,1,0,1,-1,0.0,0,0.0,0.0,0.0,0.0,ECNL Boys Northwest 2024-25,0-1-0
LA Breakers FC ECNL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
LV Heat Surf ECNL B09,0,1,0,1,1,4,-3,1.0,0,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-1-0
Legends FC San Diego ECNL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
NVA ECNL B09,0,1,0,1,0,2,-2,0.0,0,0.0,0.0,0.0,0.0,ECNL Boys Mid-Atlantic 2024-25,0-1-0
Pateadores ECNL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
Richmond United ECNL B09,0,1,0,1,0,2,-2,0.0,0,0.0,0.0,0.0,0.0,ECNL Boys Mid-Atlantic 2024-25,0-1-0
San Diego Surf ECNL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
Seattle United ECNL B09,0,0,1,1,2,2,0,2.0,1,0.0,0.0,0.0,0.0,ECNL Boys Northwest 2024-25,0-0-1
Slammers FC ECNL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
Sporting California USA ECNL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
West Coast FC ECNL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
XF ECNL Academy B09,0,0,1,1,2,2,0,2.0,1,0.0,0.0,0.0,0.0,ECNL Boys Northwest 2024-25,0-0-1
