team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
XF ECNL B09,0,1,0,1,1,4,-3,1.0,0,0.0,2.0,0.0,1.0,ECNL Boys Northwest 2024-25,0-1-0
United PDX ECNL B09,0,2,0,2,2,4,-2,1.0,0,0.0,2.0,-0.5,0.88,ECNL Boys Northwest 2024-25,0-2-0
San Francisco Elite Academy ECNL B09,1,1,0,2,2,2,0,1.0,3,0.5,1.25,0.41,0.85,ECNL Boys Northern Cal 2024-25,1-1-0
Washington Premier ECNL B09,2,0,0,2,6,2,4,3.0,6,1.0,0.0,2.0,0.75,ECNL Boys Northwest 2024-25,2-0-0
COSC ECNL B09,0,2,0,2,3,6,-3,1.5,0,0.0,1.5,-0.25,0.69,ECNL Boys Northern Cal 2024-25,0-2-0
MVLA ECNL B09,0,2,0,2,2,7,-5,1.0,0,0.0,1.5,-0.25,0.69,ECNL Boys Northern Cal 2024-25,0-2-0
Placer United ECNL B09,1,2,0,3,6,4,2,2.0,3,0.33,0.83,0.75,0.69,ECNL Boys Northern Cal 2024-25,1-2-0
River Island Surf ECNL B09,0,2,0,2,1,6,-5,0.5,0,0.0,1.5,-0.25,0.69,ECNL Boys Northern Cal 2024-25,0-2-0
Solar SC Academy ECNL B09,2,0,1,3,5,2,3,1.67,7,0.67,0.67,0.54,0.64,ECNL Boys Texas 2024-25,2-0-1
Davis Legacy ECNL B09,2,0,0,2,8,4,4,4.0,6,1.0,0.0,1.5,0.62,ECNL Boys Northern Cal 2024-25,2-0-0
FL Premier FC ECNL B09,3,0,0,3,15,0,15,5.0,9,1.0,0.4,0.7,0.62,ECNL Boys Florida 2024-25,3-0-0
Parkland SC ECNL B09,1,3,0,4,2,12,-10,0.5,3,0.25,0.93,0.37,0.62,ECNL Boys Florida 2024-25,1-3-0
Sporting Iowa ECNL B09,1,0,1,2,7,2,5,3.5,4,0.5,0.75,0.5,0.62,ECNL Boys Heartland 2024-25,1-0-1
Concorde Fire Platinum ECNL B09,2,0,0,2,6,1,5,3.0,6,1.0,0.5,0.41,0.6,ECNL Boys Southeast 2024-25,2-0-0
Association FC ECNL B09,2,0,0,2,4,1,3,2.0,6,1.0,0.0,1.38,0.59,ECNL Boys Northern Cal 2024-25,2-0-0
1974 Newark FC ECNL B09,0,3,0,3,5,19,-14,1.67,0,0.0,1.0,0.28,0.57,ECNL Boys Northern Cal 2024-25,0-3-0
Dallas Texans ECNL B09,0,1,0,1,0,2,-2,0.0,0,0.0,0.75,0.75,0.56,ECNL Boys Texas 2024-25,0-1-0
OK Energy FC ECNL B09,1,1,1,3,7,6,1,2.33,4,0.33,0.75,0.33,0.54,ECNL Boys Texas 2024-25,1-1-1
Lonestar SC Red ECNL B09,2,0,0,2,6,2,4,3.0,6,1.0,0.25,0.62,0.53,ECNL Boys Texas 2024-25,2-0-0
Florida Elite ECNL B09,3,0,1,4,10,3,7,2.5,10,0.75,0.29,0.73,0.52,ECNL Boys Florida 2024-25,3-0-1
Palm Beach Gardens ECNL B09,1,0,1,2,6,2,4,3.0,4,0.5,0.56,0.41,0.51,ECNL Boys Florida 2024-25,1-0-1
FC Dallas White ECNL B09,1,1,1,3,7,5,2,2.33,4,0.33,0.67,0.33,0.5,ECNL Boys Texas 2024-25,1-1-1
Gretna Elite Academy ECNL B09,1,1,0,2,2,6,-4,1.0,3,0.5,0.5,0.5,0.5,ECNL Boys Heartland 2024-25,1-1-0
San Antonio City SC ECNL B09,0,1,2,3,0,2,-2,0.0,2,0.0,0.75,0.5,0.5,ECNL Boys Texas 2024-25,0-1-2
Supreme FC ECNL B09,0,2,0,2,2,5,-3,1.0,0,0.0,0.77,0.41,0.49,ECNL Boys Florida 2024-25,0-2-0
FC Prime ECNL B09,1,2,1,4,5,11,-6,1.25,4,0.25,0.65,0.37,0.48,ECNL Boys Florida 2024-25,1-2-1
Germantown Legends ECNL B09,1,1,1,3,5,5,0,1.67,4,0.33,0.78,0.04,0.48,ECNL Boys Mid-America 2024-25,1-1-1
Lobos Rush ECNL B09,0,2,0,2,0,9,-9,0.0,0,0.0,0.92,0.06,0.48,ECNL Boys Mid-America 2024-25,0-2-0
San Juan SC ECNL B09,2,0,0,2,9,3,6,4.5,6,1.0,0.0,0.92,0.48,ECNL Boys Northern Cal 2024-25,2-0-0
