team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Arlington Soccer ECNL RL G09,1,1,0,2,2,2,0,1.0,3,0.5,2.0,1.0,1.38,ECNL Regional League Girls Virginia 2024-25,1-1-0
Strikers ECNL RL G09,2,0,0,2,6,2,4,3.0,6,1.0,1.0,1.38,1.09,ECNL Regional League Girls Virginia 2024-25,2-0-0
BRYC Elite Academy ECNL RL G09,0,2,0,2,1,7,-6,0.5,0,0.0,2.0,0.25,1.06,ECNL Regional League Girls Virginia 2024-25,0-2-0
Stafford Revolution ECNL RL G09,0,1,0,1,0,2,-2,0.0,0,0.0,1.0,2.0,1.0,ECNL Regional League Girls Virginia 2024-25,0-1-0
Sting CC USC TX RL G09,0,1,1,2,0,1,-1,0.0,1,0.0,2.0,-0.12,0.97,ECNL Regional League Girls USC Texas 2024-25,0-1-1
Great Falls Reston Soccer Club ECNL RL G09,2,0,0,2,9,1,8,4.5,6,1.0,0.5,1.5,0.88,ECNL Regional League Girls Virginia 2024-25,2-0-0
MVLA RL G09,1,0,0,1,4,0,4,4.0,3,1.0,1.0,0.5,0.88,ECNL Regional League Girls NorCal 2024-25,1-0-0
West Side Alliance ECNL RL G09,2,0,0,2,5,2,3,2.5,6,1.0,0.75,0.88,0.84,ECNL Regional League Girls Texas 2024-25,2-0-0
Richmond Kickers ECNL RL G09,0,1,1,2,1,2,-1,0.5,1,0.0,1.5,0.12,0.78,ECNL Regional League Girls Virginia 2024-25,0-1-1
Vienna Youth Soccer ECNL RL G09,1,0,0,1,2,1,1,2.0,3,1.0,0.0,2.0,0.75,ECNL Regional League Girls Virginia 2024-25,1-0-0
LAFC So Cal ECNL RL G09,0,2,0,2,0,6,-6,0.0,0,0.0,1.25,0.38,0.72,ECNL Regional League Girls Southwest 2024-25,0-2-0
Dallas Surf ECNL RL NTX G09,2,2,0,4,5,10,-5,1.25,6,0.5,0.99,0.38,0.71,ECNL Regional League Girls North Texas 2024-25,2-2-0
Libertyville FC 1974 ECNL RL G09,1,0,1,2,5,0,5,2.5,4,0.5,1.0,0.04,0.64,ECNL Regional League Girls Heartland 2024-25,1-0-1
McLean Green ECNL RL G09,1,1,0,2,4,4,0,2.0,3,0.5,1.0,0.0,0.62,ECNL Regional League Girls Virginia 2024-25,1-1-0
VA Reign FC  ECNL RL G09,1,1,0,2,3,4,-1,1.5,3,0.5,0.75,0.5,0.62,ECNL Regional League Girls Virginia 2024-25,1-1-0
SOLAR RED ECNL RL NTX G09,3,0,0,3,8,0,8,2.67,9,1.0,0.35,0.76,0.61,ECNL Regional League Girls Texas 2024-25,3-0-0
Dallas Texans ECNL RL G09,0,1,1,2,0,2,-2,0.0,1,0.0,1.0,0.38,0.59,ECNL Regional League Girls Texas 2024-25,0-1-1
FC Dallas ECNL RL G09,1,1,0,2,4,4,0,2.0,3,0.5,0.75,0.38,0.59,ECNL Regional League Girls North Texas 2024-25,1-1-0
Stanislaus United SC RL G09,1,1,0,2,4,4,0,2.0,3,0.5,0.5,0.86,0.59,ECNL Regional League Girls NorCal 2024-25,1-1-0
Utah Royals FC AZ ECNL RL G09,1,0,1,2,6,1,5,3.0,4,0.5,0.5,0.88,0.59,ECNL Regional League Girls Southwest 2024-25,1-0-1
FL Premier FC - ECNL RL G09,0,2,0,2,1,7,-6,0.5,0,0.0,1.0,0.31,0.58,ECNL Regional League Girls Florida 2024-25,0-2-0
DKSC ECNL RL NTX G09,3,0,0,3,9,1,8,3.0,9,1.0,0.33,0.6,0.57,ECNL Regional League Girls Texas 2024-25,3-0-0
Dallas Texans ECNL RL NTX G09,3,0,0,3,19,3,16,6.33,9,1.0,0.28,0.71,0.57,ECNL Regional League Girls Texas 2024-25,3-0-0
Coastal Premier USC TX RL G09,1,1,0,2,7,3,4,3.5,3,0.5,0.75,0.25,0.56,ECNL Regional League Girls USC Texas 2024-25,1-1-0
West Side Alliance OKC ECNL RL G09,0,3,0,3,0,15,-15,0.0,0,0.0,1.0,0.25,0.56,ECNL Regional League Girls Texas 2024-25,0-3-0
Oklahoma Cosmos ECNL RL G09,0,3,1,4,1,8,-7,0.25,1,0.0,1.0,0.19,0.55,ECNL Regional League Girls Frontier 2024-25,0-3-1
FC Wichita ECNL RL G09,2,0,1,3,14,0,14,4.67,7,0.67,0.51,0.45,0.54,ECNL Regional League Girls Frontier 2024-25,2-0-1
Tulsa SC ECNL RL G09,2,0,0,2,2,0,2,1.0,6,1.0,0.08,1.0,0.54,ECNL Regional League Girls Frontier 2024-25,2-0-0
AHFC Central USC TX RL G09 II,2,0,0,2,5,2,3,2.5,6,1.0,0.25,0.62,0.53,ECNL Regional League Girls Texas 2024-25,2-0-0
Beach FC (VA) ECNL RL G09,1,0,1,2,3,0,3,1.5,4,0.5,0.25,1.12,0.53,ECNL Regional League Girls Virginia 2024-25,1-0-1
Renegades SC ECNL RL NTX G09,3,0,1,4,14,1,13,3.5,10,0.75,0.38,0.59,0.53,ECNL Regional League Girls North Texas 2024-25,3-0-1
Association FC RL G09,1,2,0,3,1,5,-4,0.33,3,0.33,0.72,0.31,0.52,ECNL Regional League Girls NorCal 2024-25,1-2-0
FC Dallas Red ECNL RL NTX G09,0,4,0,4,1,9,-8,0.25,0,0.0,0.88,0.33,0.52,ECNL Regional League Girls North Texas 2024-25,0-4-0
Florida Celtic Soccer Club ECNL RL G09,1,1,0,2,2,2,0,1.0,3,0.5,0.5,0.56,0.52,ECNL Regional League Girls Florida 2024-25,1-1-0
NEOFC ECNL RL G09,1,2,1,4,7,12,-5,1.75,4,0.25,0.69,0.44,0.52,ECNL Regional League Girls Frontier 2024-25,1-2-1
Atlanta Fire United ECNL RL G09,2,2,0,4,7,7,0,1.75,6,0.5,0.6,0.33,0.51,ECNL Regional League Girls Southeast 2024-25,2-2-0
Colorado EDGE ECNL RL G09,2,0,1,3,5,1,4,1.67,7,0.67,0.39,0.58,0.51,ECNL Regional League Girls Mountain 2024-25,2-0-1
Colorado Rapids North ECNL RL G09,1,0,1,2,2,1,1,1.0,4,0.5,0.67,0.19,0.51,ECNL Regional League Girls Mountain 2024-25,1-0-1
SOLAR BLUE ECNL RL NTX G09,2,0,1,3,6,1,5,2.0,7,0.67,0.44,0.5,0.51,ECNL Regional League Girls Texas 2024-25,2-0-1
,0,0,1,1,0,0,0,0.0,1,0.0,0.0,2.0,0.5,,0-0-1
AHFC Central USC TX RL G09,0,1,0,1,0,1,-1,0.0,0,0.0,1.0,0.0,0.5,ECNL Regional League Girls Texas 2024-25,0-1-0
CHALLENGE USC TX RL G09,0,1,0,1,1,3,-2,1.0,0,0.0,1.0,0.0,0.5,ECNL Regional League Girls USC Texas 2024-25,0-1-0
Georgetown Force - USC TX RL G09,2,0,0,2,2,0,2,1.0,6,1.0,-0.25,1.5,0.5,ECNL Regional League Girls USC Texas 2024-25,2-0-0
Imperial Black USC TX RL G09,2,0,0,2,4,1,3,2.0,6,1.0,0.0,1.0,0.5,ECNL Regional League Girls USC Texas 2024-25,2-0-0
Kernow Storm FC ECNL RL NTX G09,2,2,0,4,9,10,-1,2.25,6,0.5,0.5,0.49,0.5,ECNL Regional League Girls North Texas 2024-25,2-2-0
Sporting Springfield ECNL RL G09,2,3,0,5,5,20,-15,1.0,6,0.4,0.42,0.75,0.5,ECNL Regional League Girls Frontier 2024-25,2-3-0
Sting Bold ECNL RL NTX G09,1,2,0,3,5,7,-2,1.67,3,0.33,0.67,0.32,0.5,ECNL Regional League Girls North Texas 2024-25,1-2-0
Virginia United RL G09,2,0,0,2,7,1,6,3.5,6,1.0,0.0,1.0,0.5,ECNL Regional League Girls Virginia 2024-25,2-0-0
Alabama FC ECNL RL G09,1,1,1,3,2,4,-2,0.67,4,0.33,0.67,0.29,0.49,ECNL Regional League Girls Southeast 2024-25,1-1-1
Pride SC ECNL RL G09,0,2,0,2,1,5,-4,0.5,0,0.0,0.79,0.39,0.49,ECNL Regional League Girls Mountain 2024-25,0-2-0
Renegades SC Navy ECNL RL NTX G09,0,2,0,2,0,5,-5,0.0,0,0.0,0.92,0.14,0.49,ECNL Regional League Girls North Texas 2024-25,0-2-0
SLSG MO ECNL RL G09,1,1,0,2,5,9,-4,2.5,3,0.5,0.5,0.47,0.49,ECNL Regional League Girls Heartland 2024-25,1-1-0
Blitz Academy FC ECNL RL G09,1,0,2,3,6,0,6,2.0,5,0.33,0.57,0.45,0.48,ECNL Regional League Girls Frontier 2024-25,1-0-2
Real Colorado Olympico ECNL RL G09,1,1,1,3,3,5,-2,1.0,4,0.33,0.56,0.46,0.48,ECNL Regional League Girls Mountain 2024-25,1-1-1
Coastal Rush ECNL RL G09,4,0,0,4,12,2,10,3.0,12,1.0,0.12,0.65,0.47,ECNL Regional League Girls Florida 2024-25,4-0-0
Eagles SC ECNL RL G09,1,0,1,2,4,2,2,2.0,4,0.5,0.5,0.38,0.47,ECNL Regional League Girls Southwest 2024-25,1-0-1
KC Fusion ECNL RL G09,0,1,2,3,3,4,-1,1.0,2,0.0,0.75,0.37,0.47,ECNL Regional League Girls Heartland 2024-25,0-1-2
Los Gatos United RL G09,0,2,0,2,0,5,-5,0.0,0,0.0,0.83,0.23,0.47,ECNL Regional League Girls NorCal 2024-25,0-2-0
Phoenix Rising ECNL RL G09,1,1,0,2,2,3,-1,1.0,3,0.5,0.25,0.88,0.47,ECNL Regional League Girls Southwest 2024-25,1-1-0
Arkansas Comets FC ECNL RL G09,3,0,2,5,22,2,20,4.4,11,0.6,0.25,0.75,0.46,ECNL Regional League Girls Frontier 2024-25,3-0-2
