team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
BRYC Elite Academy ECNL RL G10,0,2,0,2,1,11,-10,0.5,0,0.0,2.0,0.25,1.06,ECNL Regional League Girls Virginia 2024-25,0-2-0
Challenge EAST USC TX RL G10,0,1,0,1,1,2,-1,1.0,0,0.0,2.0,0.0,1.0,ECNL Regional League Girls USC Texas 2024-25,0-1-0
Stafford Revolution ECNL RL G10,0,1,0,1,0,4,-4,0.0,0,0.0,2.0,0.0,1.0,ECNL Regional League Girls Virginia 2024-25,0-1-0
Great Falls Reston Soccer Club ECNL RL G10,2,0,0,2,7,1,6,3.5,6,1.0,0.5,1.5,0.88,ECNL Regional League Girls Virginia 2024-25,2-0-0
KC Fusion ECNL RL G10,0,3,0,3,2,11,-9,0.67,0,0.0,1.62,0.02,0.82,ECNL Regional League Girls Heartland 2024-25,0-3-0
Arkansas Rising ECNL RL G10,2,0,0,2,13,0,13,6.5,6,1.0,0.5,1.25,0.81,ECNL Regional League Girls Texas 2024-25,2-0-0
FC Dallas ECNL RL G10,0,2,0,2,1,8,-7,0.5,0,0.0,1.5,0.25,0.81,ECNL Regional League Girls North Texas 2024-25,0-2-0
Vienna Youth Soccer ECNL RL G10,1,0,0,1,7,0,7,7.0,3,1.0,0.0,2.0,0.75,ECNL Regional League Girls Virginia 2024-25,1-0-0
Kernow Storm FC ECNL RL NTX G10,0,2,0,2,1,6,-5,0.5,0,0.0,1.5,-0.12,0.72,ECNL Regional League Girls North Texas 2024-25,0-2-0
Richmond Kickers ECNL RL G10,1,0,1,2,3,0,3,1.5,4,0.5,1.0,0.38,0.72,ECNL Regional League Girls Virginia 2024-25,1-0-1
Libertyville FC 1974 ECNL RL G10,2,0,1,3,8,1,7,2.67,7,0.67,1.0,0.12,0.7,ECNL Regional League Girls Heartland 2024-25,2-0-1
Beach FC (VA) ECNL RL G10,1,1,0,2,2,3,-1,1.0,3,0.5,0.75,0.75,0.69,ECNL Regional League Girls Virginia 2024-25,1-1-0
Dallas Texans ECNL RL G10,1,1,0,2,1,7,-6,0.5,3,0.5,1.0,0.25,0.69,ECNL Regional League Girls Texas 2024-25,1-1-0
Jacksonville FC ECNL RL G10,0,2,0,2,1,11,-10,0.5,0,0.0,1.42,-0.06,0.69,ECNL Regional League Girls Florida 2024-25,0-2-0
SOLAR WHITE ECNL RL NTX G10,2,0,0,2,4,0,4,2.0,6,1.0,0.25,1.25,0.69,ECNL Regional League Girls Texas 2024-25,2-0-0
Strikers ECNL RL G10,1,1,0,2,6,2,4,3.0,3,0.5,1.0,0.25,0.69,ECNL Regional League Girls Virginia 2024-25,1-1-0
SLSG Illinois ECNL RL G10,2,0,0,2,5,1,4,2.5,6,1.0,0.17,1.38,0.68,ECNL Regional League Girls Heartland 2024-25,2-0-0
SLSG MO ECNL RL G10,2,0,0,2,9,0,9,4.5,6,1.0,0.17,1.38,0.68,ECNL Regional League Girls Heartland 2024-25,2-0-0
Sting Nebraska ECNL RL G10,1,3,0,4,5,12,-7,1.25,3,0.25,1.14,0.12,0.66,ECNL Regional League Girls Heartland 2024-25,1-3-0
Arlington Soccer ECNL RL G10,2,0,0,2,6,1,5,3.0,6,1.0,0.0,1.5,0.62,ECNL Regional League Girls Virginia 2024-25,2-0-0
Challenge Aggieland USC TX RL G10,2,0,0,2,4,2,2,2.0,6,1.0,0.0,1.5,0.62,ECNL Regional League Girls USC Texas 2024-25,2-0-0
Lake Travis USC TX RL G10,1,0,0,1,2,1,1,2.0,3,1.0,1.0,-0.5,0.62,ECNL Regional League Girls USC Texas 2024-25,1-0-0
McLean Green ECNL RL G10,1,1,0,2,2,3,-1,1.0,3,0.5,1.0,0.0,0.62,ECNL Regional League Girls Virginia 2024-25,1-1-0
Colorado Rush ECNL RL G10,0,3,1,4,3,24,-21,0.75,1,0.0,1.06,0.22,0.59,ECNL Regional League Girls Mountain 2024-25,0-3-1
MVLA RL G10,0,2,0,2,2,7,-5,1.0,0,0.0,1.5,-0.62,0.59,ECNL Regional League Girls NorCal 2024-25,0-2-0
Sting Bold ECNL RL NTX G10,0,1,1,2,0,2,-2,0.0,1,0.0,1.0,0.38,0.59,ECNL Regional League Girls North Texas 2024-25,0-1-1
FC Wichita ECNL RL G10,3,0,0,3,17,2,15,5.67,9,1.0,0.35,0.6,0.57,ECNL Regional League Girls Frontier 2024-25,3-0-0
Florida Elite ECNL RL G10,0,1,1,2,1,3,-2,0.5,1,0.0,1.17,-0.06,0.57,ECNL Regional League Girls Florida 2024-25,0-1-1
Pride SC ECNL RL G10,2,0,0,2,13,1,12,6.5,6,1.0,0.21,0.85,0.57,ECNL Regional League Girls Mountain 2024-25,2-0-0
Classics Elite ECNL RL G10,1,1,0,2,4,4,0,2.0,3,0.5,1.0,-0.25,0.56,ECNL Regional League Girls Texas 2024-25,1-1-0
GSA ECNL RL G10,3,1,0,4,17,8,9,4.25,9,0.75,0.38,0.7,0.55,ECNL Regional League Girls Southeast 2024-25,3-1-0
Colorado EDGE ECNL RL G10,1,1,1,3,6,4,2,2.0,4,0.33,0.64,0.52,0.53,ECNL Regional League Girls Mountain 2024-25,1-1-1
West Side Alliance Tulsa ECNL RL G10,0,1,0,1,0,7,-7,0.0,0,0.0,1.0,0.12,0.53,ECNL Regional League Girls Texas 2024-25,0-1-0
Charlotte Independence South RL G10,1,0,0,1,2,1,1,2.0,3,1.0,0.5,0.0,0.5,ECNL Regional League Girls Carolinas 2024-25,1-0-0
DKSC ECNL RL NTX G10,1,0,0,1,3,2,1,3.0,3,1.0,0.5,0.0,0.5,ECNL Regional League Girls Texas 2024-25,1-0-0
Dynamos USC TX RL G10,0,1,0,1,1,2,-1,1.0,0,0.0,1.0,0.0,0.5,ECNL Regional League Girls USC Texas 2024-25,0-1-0
NCFC Youth Elite ECNL RL G10,1,0,0,1,1,0,1,1.0,3,1.0,0.5,0.0,0.5,ECNL Regional League Girls Carolinas 2024-25,1-0-0
Sporting Springfield ECNL RL G10,3,2,0,5,13,9,4,2.6,9,0.6,0.55,0.28,0.5,ECNL Regional League Girls Frontier 2024-25,3-2-0
Sting 73 ECNL RL NTX G10,0,1,0,1,1,3,-2,1.0,0,0.0,0.75,0.5,0.5,ECNL Regional League Girls North Texas 2024-25,0-1-0
Alabama FC ECNL RL G10,1,1,2,4,5,6,-1,1.25,5,0.25,0.71,0.28,0.49,ECNL Regional League Girls Southeast 2024-25,1-1-2
Sporting Blue Valley ECNL RL G10,0,1,0,1,1,3,-2,1.0,0,0.0,1.12,-0.28,0.49,ECNL Regional League Girls Heartland 2024-25,0-1-0
United Futbol Academy ECNL RL G10,1,1,2,4,4,5,-1,1.0,5,0.25,0.71,0.28,0.49,ECNL Regional League Girls Southeast 2024-25,1-1-2
Arkansas Comets FC ECNL RL G10,2,2,1,5,10,8,2,2.0,7,0.4,0.6,0.28,0.47,ECNL Regional League Girls Frontier 2024-25,2-2-1
Atlanta Fire United ECNL RL G10,1,2,1,4,3,8,-5,0.75,4,0.25,0.67,0.28,0.47,ECNL Regional League Girls Southeast 2024-25,1-2-1
BVBIA ECNL RL NTX G10,1,1,1,3,8,8,0,2.67,4,0.33,0.5,0.54,0.47,ECNL Regional League Girls North Texas 2024-25,1-1-1
Oklahoma Cosmos ECNL RL G10,4,0,0,4,21,1,20,5.25,12,1.0,0.12,0.66,0.47,ECNL Regional League Girls Frontier 2024-25,4-0-0
Concorde Fire Platinum ECNL RL G10,2,2,0,4,6,4,2,1.5,6,0.5,0.29,0.7,0.45,ECNL Regional League Girls Southeast 2024-25,2-2-0
NEOFC ECNL RL G10,0,4,0,4,0,23,-23,0.0,0,0.0,0.66,0.46,0.45,ECNL Regional League Girls Frontier 2024-25,0-4-0
Space Coast United ECNL RL G10,1,0,1,2,4,1,3,2.0,4,0.5,0.0,1.29,0.45,ECNL Regional League Girls Florida 2024-25,1-0-1
Michigan Hawks ECNL RL G10,0,1,0,1,1,4,-3,1.0,0,0.0,1.0,-0.25,0.44,ECNL Regional League Girls Heartland 2024-25,0-1-0
Phoenix Rising ECNL RL G10,0,0,2,2,4,4,0,2.0,2,0.0,1.0,-0.25,0.44,ECNL Regional League Girls Southwest 2024-25,0-0-2
VA Reign FC ECNL RL G10,1,1,0,2,2,6,-4,1.0,3,0.5,0.5,0.25,0.44,ECNL Regional League Girls Virginia 2024-25,1-1-0
WSC Crush RL G10,0,1,0,1,1,4,-3,1.0,0,0.0,1.0,-0.25,0.44,ECNL Regional League Girls NorCal 2024-25,0-1-0
West Side Alliance ECNL RL G10,1,1,0,2,2,2,0,1.0,3,0.5,0.0,1.25,0.44,ECNL Regional League Girls Texas 2024-25,1-1-0
Dallas Texans ECNL RL NTX G10,1,1,0,2,7,7,0,3.5,3,0.5,0.62,0.0,0.43,ECNL Regional League Girls Texas 2024-25,1-1-0
Kansas City Athletics ECNL RL G10,0,0,1,1,1,1,0,1.0,1,0.0,1.0,-0.28,0.43,ECNL Regional League Girls Heartland 2024-25,0-0-1
COSC RL G10,3,0,0,3,19,4,15,6.33,9,1.0,-0.25,1.17,0.42,ECNL Regional League Girls NorCal 2024-25,3-0-0
Concorde Fire Premier ECNL RL G10,0,4,0,4,7,20,-13,1.75,0,0.0,0.71,0.28,0.42,ECNL Regional League Girls Southeast 2024-25,0-4-0
1974 Newark FC RL G10,0,1,1,2,5,14,-9,2.5,1,0.0,1.0,-0.38,0.41,ECNL Regional League Girls NorCal 2024-25,0-1-1
Evolution SC Mercurial ECNL RL G10,1,0,1,2,1,0,1,0.5,4,0.5,0.25,0.62,0.41,ECNL Regional League Girls Heartland 2024-25,1-0-1
Blitz Academy FC ECNL RL G10,1,1,1,3,6,4,2,2.0,4,0.33,0.33,0.6,0.4,ECNL Regional League Girls Frontier 2024-25,1-1-1
Real Colorado Olympico ECNL RL G10,1,0,2,3,8,1,7,2.67,5,0.33,0.28,0.69,0.4,ECNL Regional League Girls Mountain 2024-25,1-0-2
South Carolina United ECNL RL G10,2,0,2,4,7,3,4,1.75,8,0.5,0.21,0.7,0.4,ECNL Regional League Girls Southeast 2024-25,2-0-2
Coastal Rush ECNL RL G10,4,0,0,4,29,1,28,7.25,12,1.0,-0.12,0.77,0.38,ECNL Regional League Girls Florida 2024-25,4-0-0
East County Revolution FC RL G10,1,0,0,1,5,3,2,5.0,3,1.0,0.0,0.5,0.38,ECNL Regional League Girls NorCal 2024-25,1-0-0
Lonestar SC ECNL RL G10,0,0,1,1,0,0,0,0.0,1,0.0,1.0,-0.5,0.38,ECNL Regional League Girls USC Texas 2024-25,0-0-1
AFA Fillies ECNL RL G10,1,0,0,1,3,1,2,3.0,3,1.0,0.0,0.44,0.36,ECNL Regional League Girls Heartland 2024-25,1-0-0
CESA Liberty ECNL RL G10,1,0,3,4,9,4,5,2.25,6,0.25,0.25,0.7,0.36,ECNL Regional League Girls Southeast 2024-25,1-0-3
Missouri Rush ECNL RL G10,1,0,0,1,2,0,2,2.0,3,1.0,0.0,0.44,0.36,ECNL Regional League Girls Heartland 2024-25,1-0-0
Cape Coral Cyclones ECNL RL G10,1,2,0,3,1,9,-8,0.33,3,0.33,0.5,0.06,0.35,ECNL Regional League Girls Florida 2024-25,1-2-0
