team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Vienna Youth Soccer ECNL RL B08,1,1,0,2,2,8,-6,1.0,3,0.5,1.5,1.0,1.12,ECNL Regional League Boys Virginia 2024-25,1-1-0
Chattanooga Red Wolves SC ECNL RL B08,0,2,0,2,0,24,-24,0.0,0,0.0,2.0,0.0,1.0,ECNL Regional League Boys Mid-America 2024-25,0-2-0
FC Alliance ECNL RL B08,0,2,0,2,0,14,-14,0.0,0,0.0,2.0,0.0,1.0,ECNL Regional League Boys Mid-America 2024-25,0-2-0
Herndon ECNL RL B08,1,0,1,2,8,1,7,4.0,4,0.5,1.0,1.25,0.94,ECNL Regional League Boys Virginia 2024-25,1-0-1
McLean Green ECNL RL B08,0,2,0,2,4,7,-3,2.0,0,0.0,2.0,-0.25,0.94,ECNL Regional League Boys Virginia 2024-25,0-2-0
Beach FC (VA) ECNL RL B08,1,1,0,2,5,2,3,2.5,3,0.5,1.25,0.5,0.88,ECNL Regional League Boys Virginia 2024-25,1-1-0
Villarreal VA ECNL RL B08,0,1,0,1,1,2,-1,1.0,0,0.0,1.0,1.5,0.88,ECNL Regional League Boys Virginia 2024-25,0-1-0
San Ramon FC RL B08,1,1,0,2,5,5,0,2.5,3,0.5,1.25,0.17,0.79,ECNL Regional League Boys NorCal 2024-25,1-1-0
Alabama FC ECNL RL B08,2,0,0,2,19,0,19,9.5,6,1.0,0.0,2.0,0.75,ECNL Regional League Boys Mid-America 2024-25,2-0-0
Dallas Texans ECNL RL B08,0,1,0,1,0,3,-3,0.0,0,0.0,1.0,1.0,0.75,ECNL Regional League Boys North Texas 2024-25,0-1-0
Great Falls Reston Soccer Club ECNL RL B08,1,0,0,1,4,3,1,4.0,3,1.0,0.0,2.0,0.75,ECNL Regional League Boys Virginia 2024-25,1-0-0
Loudoun Soccer RL B08,0,0,1,1,1,1,0,1.0,1,0.0,1.0,1.0,0.75,ECNL Regional League Boys Virginia 2024-25,0-0-1
Tennessee SC ECNL RL B08,2,0,0,2,19,0,19,9.5,6,1.0,0.0,2.0,0.75,ECNL Regional League Boys Mid-America 2024-25,2-0-0
OK Energy FC ECNL RL B08,2,1,0,3,8,1,7,2.67,6,0.67,1.0,0.25,0.73,ECNL Regional League Boys Texas 2024-25,2-1-0
SF United FC RL B08,0,2,0,2,2,7,-5,1.0,0,0.0,1.5,-0.25,0.69,ECNL Regional League Boys NorCal 2024-25,0-2-0
Richmond Kickers ECNL RL B08,2,0,0,2,9,2,7,4.5,6,1.0,0.5,0.62,0.66,ECNL Regional League Boys Virginia 2024-25,2-0-0
Coastal Rush ECNL RL B08,2,0,1,3,7,2,5,2.33,7,0.67,0.53,0.74,0.62,ECNL Regional League Boys Florida 2024-25,2-0-1
