team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Concorde Fire Premier ECNL G10,0,2,0,2,1,6,-5,0.5,0,0.0,1.75,0.12,0.91,ECNL Girls Southeast 2024-25,0-2-0
Utah Royals FC-AZ ECNL G10,0,2,0,2,0,5,-5,0.0,0,0.0,1.75,0.12,0.91,ECNL Girls Southwest 2024-25,0-2-0
FC Prime ECNL G10,2,0,0,2,9,0,9,4.5,6,1.0,0.75,0.88,0.84,ECNL Girls Southeast 2024-25,2-0-0
Alabama FC ECNL G10,0,1,1,2,1,2,-1,0.5,1,0.0,1.5,0.12,0.78,ECNL Girls Southeast 2024-25,0-1-1
Florida Krush ECNL G10,2,0,0,2,4,0,4,2.0,6,1.0,0.25,1.62,0.78,ECNL Girls Southeast 2024-25,2-0-0
LAFC So Cal ECNL G10,2,0,0,2,5,1,4,2.5,6,1.0,0.25,1.62,0.78,ECNL Girls Southwest 2024-25,2-0-0
Phoenix Rising ECNL G10,0,1,1,2,2,3,-1,1.0,1,0.0,1.5,0.12,0.78,ECNL Girls Southwest 2024-25,0-1-1
De Anza Force ECNL G10,1,1,0,2,7,2,5,3.5,3,0.5,1.0,0.58,0.77,ECNL Girls Northern Cal 2024-25,1-1-0
MVLA ECNL G10,3,0,0,3,27,1,26,9.0,9,1.0,0.67,0.75,0.77,ECNL Girls Northern Cal 2024-25,3-0-0
CESA Liberty ECNL G10,0,1,1,2,1,6,-5,0.5,1,0.0,1.0,0.38,0.59,ECNL Girls Southeast 2024-25,0-1-1
Davis Legacy ECNL G10,1,2,0,3,3,17,-14,1.0,3,0.33,0.75,0.53,0.59,ECNL Girls Northern Cal 2024-25,1-2-0
Eclipse Select SC ECNL G10,4,0,0,4,11,3,8,2.75,12,1.0,0.38,0.61,0.59,ECNL Girls Midwest 2024-25,4-0-0
FC Wisconsin ECNL G10,3,0,0,3,8,2,6,2.67,9,1.0,0.33,0.72,0.59,ECNL Girls Midwest 2024-25,3-0-0
Real Colorado Athletico ECNL G10,2,1,0,3,6,5,1,2.0,6,0.67,0.58,0.52,0.59,ECNL Girls Texas 2024-25,2-1-0
South Carolina United ECNL G10,1,1,0,2,7,4,3,3.5,3,0.5,0.75,0.38,0.59,ECNL Girls Southeast 2024-25,1-1-0
Sporting Iowa ECNL G10,2,2,0,4,7,11,-4,1.75,6,0.5,0.77,0.33,0.59,ECNL Girls Midwest 2024-25,2-2-0
