id,name,full_name,city,logo,state_code,org_id,org_season_id,event_id
4342,1974 Newark FC,1974 Newark FC,Newark,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerImage/Shawn_Ascher_e733810807c1451eae3f0cd4e6a60e1c.jpg,CA,13,62,3222
3603,210 FC San Antonio,210 FC San Antonio,San Antonio,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Amalia_Contreras_b63443490acc45ea8249fee1839055a7_210_FC_Log.png,TX,13,62,3232
4318,AFA Fillies,AFA Fillies,Chesterfield,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerImage/Shawn_Ascher_2f00cbb81d424264a7273af73ac02c2d.png,MO,13,62,3218
18,Alabama FC,Alabama FC,Birmingham,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/_da463c0400e545cbbfb1f23ee81d0cde_afc.png,AL,13,62,3228
10,Albion Hurricanes FC,Albion Hurricanes FC,Houston,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Jacob_Decker_b5174738f5fb404db82f157ca6f459d3_albion.png,TX,13,62,3231
331,Alleycats,Alleycats,Colonie,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/AlleyCats.jpg,NY,13,62,3224
3453,Arizona Arsenal,Arizona Arsenal,Phoenix,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Joshua_Estrada_71006e40b54144aea994b48be88e6f56_unnamed3.png,AZ,13,62,0
3585,Arkansas Comets FC,Arkansas Comets FC,Fayetteville,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/d8b256543b4d40b6981553b39063efbd_Arkansas_C.png,AR,13,62,3216
3594,Arkansas Rising,Arkansas Rising,Little Rock,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Kellie_Hallworth_22e586d2e30f427e876a496df7065b30_rising_tgs.jpg,AR,13,62,3231
525,Arlington Soccer,Arlington Soccer,Arlington,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Thomas_Griffin_bee0acf7e2a84c378d3d08368546c844_ARL LOGO.png,VA,13,62,3233
2232,Arsenal Colorado,Arsenal Colorado,Fort Collins,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Minjae_Kwak_2b16c0450b474d5593f958578837c2cb_AC_Shield_.png,CO,13,62,3220
3065,Association Football...,Association Football Club,Oakland,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Kassidy_Blevins_33dab14527054918860cd4194327cd51_Screenshot.png,CA,13,62,3222
14,Atlanta Fire United,Atlanta Fire United,Duluth,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Lee_Wilder_db1845a2eea8444082a1d8c62031bb81_ATLFire_Un.png,GA,13,62,3228
592,AZ Arsenal,AZ Arsenal,Phoenix,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/_ea27d5ee27dd48678c87e0e067ab4c71_ArsenalAZ.jpg,AZ,13,62,3230
16,Beach FC  (CA),Beach FC  (CA),Torrance,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Beach-FC.jpg,CA,13,62,3230
628,Beach FC  (VA),Beach FC  (VA),Virginia Beach,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Joelle_Palombo_169588b883044d45b185887b8a469848_logo_large.png,VA,13,62,3233
17,Bethesda SC,Bethesda SC,Gaithersburg,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Jose_Mourinho_63e8b63f510340a59f2c56ffe71ffc2b_Bethesda_T.png,MD,13,62,3223
3620,Blitz Academy FC,Blitz Academy FC,TULSA,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/blake_test2_72e9d81f05124cd88c617559d83715af_blitz_logo.png,OK,13,62,3216
51,Boise Timbers | Thor...,Boise Timbers | Thorns FC,Meridian,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/John_Smith_82702c17fedd4e6a94336134ddb90efd_BTT_logo_3.png,ID,13,62,3220
357,BRYC Elite Academy,BRYC Elite Academy,Fairfax,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Zakaria   M_ELBekraoui_e7fc87a7784c43abaac120978355d3cd_BRYC_TGS.png,VA,13,62,3233
3985,Burlingame SC,Burlingame SC,Burlingame,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerImage/James_Bond_e12e394298f945ef996b9a3ea2f3337b.jpeg,CA,13,62,3222
1771,BVB International Ac...,BVB International Academy,Carrollton,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Ivan_Orozco_58eea4a406a94ed7bdfd3b2757f2fcf1_BVB_portra.png,TX,13,62,3226
1470,California Odyssey S...,California Odyssey Soccer Club,Clovis,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerImage/Nicholas_Hodge_245507b6e4c04e23b3b185b9033ac6f0.png,CA,13,62,3222
4578,Canton Force,Canton Force,North Royalton,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerImage/Kory_Patterson_23f5f5e162414a39b8b0857fa79b2b3e.png,OH,13,62,3217
3390,Cape Coral SA,Cape Coral SA,Cape Coral,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/6492346eb0204db88b4d9bcc9db0a26f_Screenshot.png,FL,13,62,3215
380,Carolina Elite Socce...,Carolina Elite Soccer Academy,Greenville,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/CarolinaESA.jpg,SC,13,62,3228
4349,CFC North,CFC North,Rocky Hill,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Devin_Itzikman_75ee55b60c464ef386f62079e95fafe3_CFC_Logo_.png,CT,13,62,3224
3539,CFC South,CFC South,Bethany ,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Jasmine_Sinchai_1e33b950aa14413984faa4bf3193bf0a_download.jpg,CT,13,62,0
25,Challenge SC,Challenge SC,Spring,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Challenge-SC.jpg,TX,13,62,3232
1010,Charlotte Independen...,Charlotte Independence Soccer Club,Cornelius,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Ardo_Khedesian_dc473e08e1e447ad89110559b1c57e83_cisc_logo.png,NC,13,62,3214
26,Charlotte SA,Charlotte SA,Pineville ,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Charlotte-Soccer-Academy.jpg,NC,13,62,3214
2167,Chicago Inter Soccer,Chicago Inter Soccer,New Lenox,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/ronaldo_ramirez_bf77238fb93e4c909d8d11c75c9f121a_IMG_26371.png,IL,13,62,3218
4087,Cincinnati Elite FC,Cincinnati Elite FC,Cincinnati,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Alex_Garcia_458ab186957b47238dec32c91ee88656_Cincinnati.png,OH,13,62,3217
3434,Classic Elite STX SA,Classic Elite STX SA,Edinburg,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Logo_2024__08-16-2024T19:10:04.929.png,TX,13,62,3232
3477,Classics Elite SA,Classics Elite SA,San Antonio,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Logo_2024__08-16-2024T19:10:37.611.png,TX,13,62,3232
1375,Classics Elite Socce...,Classics Elite Soccer Academy,San Antonio,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Ethan_Flanagan_3eecdba1b24646209dd411df4729a407_Logo_2024_.png,TX,13,62,3231
3478,Cleveland Force SC,Cleveland Force SC,Bedford Heights,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Ella_Neumann_73806358b04141acb9101a388a400c10_CFSC Logo no outline.png,OH,13,62,3227
4079,Club Ohio,Club Ohio,Dublin,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/1a575300a46347ca8ba19d463cc8be9c_Club_Ohio_.png,OH,13,62,3217
3522,Coastal Premier FC,Coastal Premier FC,Beaumont,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Len_Sakimukai_c5c563e89e7f48b6aa6eea9adcc65bb1_Screenshot.png,TX,13,62,3232
4319,Coastal Rush,Coastal Rush,Penscola,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/harrison_Coffell_90242c2fd421475291a7d79f6b5068d4_download.jpg,FL,13,62,3215
3639,Colorado EDGE SC,Colorado EDGE SC,Arvada,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/b016193dbec04d5eb83b3b3cbca65ef5_Colorado_E.png,CO,13,62,3220
29,Colorado Rapids,Colorado Rapids,Aurora,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/John_Doe_9ec5bd5219c34faba507ec82f55ac79d_Colorado_R.png,CO,13,62,3220
28,Colorado Rush,Colorado Rush,"Denver, CO 80231 ",https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/1CO_Rush_S_08-18-2024T18:36:05.493.png,CO,13,62,3220
30,Concorde Fire ,Concorde Fire ,Atlanta,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Concorde-Fire.jpg,GA,13,62,3228
