id,name,full_name,city,logo,state_code,org_id,org_season_id,event_id
18,Alabama FC,Alabama FC,Birmingham,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/_da463c0400e545cbbfb1f23ee81d0cde_afc.png,AL,9,60,3164
10,Albion Hurricanes FC,Albion Hurricanes FC,Houston,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Jacob_Decker_b5174738f5fb404db82f157ca6f459d3_albion.png,TX,9,60,3166
3453,Arizona Arsenal,Arizona Arsenal,Phoenix,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Joshua_Estrada_71006e40b54144aea994b48be88e6f56_unnamed3.png,AZ,9,60,0
525,Arlington Soccer,Arlington Soccer,Arlington,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Thomas_Griffin_bee0acf7e2a84c378d3d08368546c844_ARL LOGO.png,VA,9,60,3157
14,Atlanta Fire United,Atlanta Fire United,Duluth,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Lee_Wilder_db1845a2eea8444082a1d8c62031bb81_ATLFire_Un.png,GA,9,60,3164
592,AZ Arsenal,AZ Arsenal,Phoenix,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/_ea27d5ee27dd48678c87e0e067ab4c71_ArsenalAZ.jpg,AZ,9,60,3165
3986,Bay Area Surf,Bay Area Surf,Bay Area,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Allessandro_Perez_87888f604ba8407ab7007ae6c837e777_Blue_Wave_.png,CA,9,60,3161
16,Beach FC  (CA),Beach FC  (CA),Torrance,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Beach-FC.jpg,CA,9,60,3165
628,Beach FC  (VA),Beach FC  (VA),Virginia Beach,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Joelle_Palombo_169588b883044d45b185887b8a469848_logo_large.png,VA,9,60,3157
17,Bethesda SC,Bethesda SC,Gaithersburg,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Jose_Mourinho_63e8b63f510340a59f2c56ffe71ffc2b_Bethesda_T.png,MD,9,60,3160
51,Boise Timbers | Thor...,Boise Timbers | Thorns FC,Meridian,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/John_Smith_82702c17fedd4e6a94336134ddb90efd_BTT_logo_3.png,ID,9,60,3162
380,Carolina Elite Socce...,Carolina Elite Soccer Academy,Greenville,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/CarolinaESA.jpg,SC,9,60,3164
