match_id,home_team,home_team_id,home_team_club_id,away_team,away_team_id,away_team_club_id,home_score,away_score,date
709400,210 FC USC TX RL B09,80689,3603,AHFC SW USC TX RL B09,49340,10,0,0,0001-01-01
709397,210 FC USC TX RL B09,80689,3603,MAFC FC USC TX RL B09,50861,3575,0,0,2024-09-07
666955,Turlock Academica Jrs RL B09,93669,3051,AC Marin RL B09,68591,3102,2,3,2024-08-18
666943,Burlingame SC RL B09,78333,3985,AC Marin RL B09,68591,3102,0,1,2024-08-24
666944,AC Marin RL B09,68591,3102,Albion SC Merced RL B09,94084,4177,2,2,2024-09-07
712593,FC Alliance ECNL RL B09,57716,1693,Alabama FC ECNL RL B09,57682,18,0,1,2024-09-07
712599,Chattanooga Red Wolves SC ECNL RL B09,96251,3232,Alabama FC ECNL RL B09,57682,18,0,1,2024-09-08
696790,Albion Hurricanes FC ECNL RL B09,57746,10,SAFC Red ECRL B09,95199,4304,0,0,2024-08-31
696796,Albion Hurricanes FC ECNL RL B09,57746,10,San Antonio City SC ECNL RL B09,57772,2519,0,0,2024-09-01
696805,RISE SC - ECNL Navy RL B09,80403,1772,Albion Hurricanes FC ECNL RL B09,57746,10,2,0,2024-09-08
666952,Burlingame SC RL B09,78333,3985,Albion SC Merced RL B09,94084,4177,0,4,2024-08-18
666940,Albion SC Merced RL B09,94084,4177,Los Gatos United RL B09,93766,3231,4,2,2024-08-24
666953,Almaden FC RL B09,84564,3069,South Valley Chivas Academy RL B09,84587,573,1,3,2024-08-17
666946,Turlock Academica Jrs RL B09,93669,3051,Almaden FC RL B09,84564,3069,2,2,2024-09-07
694330,Arkansas Rising ECNL RL B09,60908,3594,Arkansas Comets FC ECNL RL B09,81780,3585,3,1,2024-08-31
694354,Blitz Academy ECNL RL B09,77795,3620,Arkansas Comets FC ECNL RL B09,81780,3585,2,1,2024-09-08
694348,Arkansas Rising ECNL RL B09,60908,3594,Blitz Academy ECNL RL B09,77795,3620,3,2,2024-09-02
676593,Arlington Soccer ECNL RL B09,82229,525,Strikers ECNL RL B09,47971,83,2,1,2024-08-25
676608,Stafford Revolution ECNL RL B09,14959,636,Arlington Soccer ECNL RL B09,82229,525,1,4,2024-09-08
673236,SC Surf ECNL RL B09,81247,3644,Atlanta Fire United ECNL RL B09,57697,14,1,3,2024-08-18
673243,Atlanta Fire United ECNL RL B09,57697,14,United Futbol Academy RL B09,57740,3407,1,1,2024-08-24
673228,Atlanta Fire United ECNL RL B09,57697,14,GSA ECNL RL B09,57722,56,6,0,2024-08-25
673408,Atlanta Fire United ECNL RL B09,57697,14,SC Surf ECNL RL B09,81247,3644,3,2,2024-09-07
681198,Avanti SA Grey ECNL RL NTX B09,72342,4068,NTX Celtic FC ECNL RL NTX B09,68881,3717,0,4,2024-08-17
681202,Avanti SA Blue ECNL RL NTX B09,80229,4068,BVBIA ECNL RL NTX B09,67339,1771,1,2,2024-08-17
681217,Avanti SA White ECNL RL NTX B09,69795,4068,SOLAR WHITE ECNL RL NTX B09,96932,101,1,0,2024-08-31
681226,FC Dallas Blue ECNL RL NTX B09,68642,47,Avanti SA Blue ECNL RL NTX B09,80229,4068,0,0,2024-08-31
681236,FC Dallas Navy ECNL RL NTX B09,69801,47,Avanti SA Grey ECNL RL NTX B09,72342,4068,5,0,2024-08-31
681246,Dallas Texans ECNL RL NTX B09,95256,37,Avanti SA White ECNL RL NTX B09,69795,4068,2,1,2024-09-01
681255,Avanti SA Blue ECNL RL NTX B09,80229,4068,Renegades SC ECNL RL NTX B09,60614,2738,3,2,2024-09-01
681262,Avanti SA Grey ECNL RL NTX B09,72342,4068,DKSC ECNL RL NTX B09,81377,35,0,1,2024-09-01
681306,Avanti SA Blue ECNL RL NTX B09,80229,4068,Avanti SA White ECNL RL NTX B09,69795,4068,0,0,2024-09-08
681318,SOLAR WHITE ECNL RL NTX B09,96932,101,Avanti SA Grey ECNL RL NTX B09,72342,4068,5,0,2024-09-08
692452,Beach FC ECNL RL B09,60058,16,Pateadores ECNL RL B09,59947,186,0,0,2024-09-08
676591,FC Richmond  ECNL RL B09,69474,627,Beach FC (VA) ECNL RL B09,67855,628,2,1,2024-08-25
676600,Beach FC (VA) ECNL RL B09,67855,628,Richmond Kickers ECNL RL B09,47689,633,1,0,2024-09-08
694318,Blitz Academy ECNL RL B09,77795,3620,Tupelo FC ECNL RL B09,97073,4569,3,1,2024-08-31
694336,Blitz Academy ECNL RL B09,77795,3620,Mississippi Rush United ECNL RL B09,93965,4327,1,2,2024-09-01
666947,Los Gatos United RL B09,93766,3231,Burlingame SC RL B09,78333,3985,0,1,2024-09-08
681216,BVBIA ECNL RL NTX B09,67339,1771,FC Dallas White ECNL RL NTX B09,68991,47,0,0,2024-08-31
681263,BVBIA ECNL RL NTX B09,67339,1771,FC Dallas Blue ECNL RL NTX B09,68642,47,1,0,2024-09-01
681304,BVBIA ECNL RL NTX B09,67339,1771,Dallas Texans Red ECNL RL NTX B09,69169,37,2,2,2024-09-08
648673,Cape Coral Cyclones ECNL  RL B09,94336,3390,Wellington ECNL RL B09,70410,840,3,2,2024-09-07
673316,CESA Triumph ECNL RL B09,60119,380,Concorde Fire Premier ECNL RL B09,57703,30,0,4,2024-08-24
673284,CESA Triumph ECNL RL B09,60119,380,Concorde Fire Platinum ECNL RL B09,57710,30,0,0,2024-08-25
673260,GSA ECNL RL B09,57722,56,CESA Triumph ECNL RL B09,60119,380,2,1,2024-09-07
673276,United Futbol Academy RL B09,57740,3407,CESA Triumph ECNL RL B09,60119,380,2,1,2024-09-08
709332,Cavalry Black USC TX RL B09,49779,3432,Imperial Red USC TX RL B09,59640,3718,2,2,2024-09-08
696803,CHALLENGE UNITED ECNL RL B09,66744,25,West Side Alliance ECNL RL B09,69324,3587,3,3,2024-09-07
696807,CHALLENGE UNITED ECNL RL B09,66744,25,Oklahoma Celtic ECNL RL B09,55416,2134,3,0,2024-09-08
712833,Chattanooga Red Wolves SC ECNL RL B09,96251,3232,Tennessee SC ECNL RL B09,57734,1354,0,10,2024-09-07
649129,South Orlando Soccer Club ECNL RL B09,94576,3303,Coastal Rush ECNL RL B09,80129,4319,0,2,2024-08-24
649135,Orlando City Lake Nona ECNL RL B09,94819,4568,Coastal Rush ECNL RL B09,80129,4319,0,5,2024-08-25
649141,Tampa Bay United ECNL RL B09,48638,874,Coastal Rush ECNL RL B09,80129,4319,0,0,2024-09-07
